diseaseId,diseaseName,did
C0796280,Acromegaloid facial appearance syndrome,127
C0001206,Acromegaly,128
C1863616,ACROMELIC FRONTONASAL DYSOSTOSIS,129
C0796182,Acromelic frontonasal dysplasia,130
C2930970,Acromesomelic dysplasia Hunter-Thompson type,131
C4225404,"ACROMESOMELIC DYSPLASIA, DEMIRHAN TYPE",132
C1864356,"ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE",133
C0265287,Acromicric Dysplasia,134
C1863307,"Acropectorovertebral Dysplasia, F-Form",135
C0271583,"ACTH Deficiency, Isolated",136
C1857451,Acth-Independent Macronodular Adrenal Hyperplasia,137
C4014803,ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA 2,138
C1306214,ACTH-Secreting Pituitary Adenoma,139
C3711389,Actin-Accumulation Myopathy,140
C1442958,Actinic porokeratosis,141
C0751779,Action Myoclonus-Renal Failure Syndrome,142
C0149821,ACUTE ALCOHOL WITHDRAWAL,143
C0394996,Acute alcoholic intoxication,144
C0751956,Acute Cerebrovascular Accidents,145
C0521664,Acute Confusional Migraine,146
C0546126,Acute Confusional Senile Dementia,147
C0948089,Acute Coronary Syndrome,148
C4707658,Acute encephalopathy with biphasic seizures and late reduced diffusion,149
C0023440,Acute Erythroblastic Leukemia,150
C2930974,Acute erythroleukemia,151
C2930975,Acute erythroleukemia - M6a subtype,152
C2930977,Acute erythroleukemia - M6b subtype,153
C1455728,Acute fatty liver of pregnancy,154
C0162565,Acute intermittent porphyria,155
C2609414,Acute kidney injury,156
C1565662,Acute Kidney Insufficiency,157
C0022672,Acute Kidney Tubular Necrosis,158
C0242488,Acute Lung Injury,159
C0023449,Acute lymphocytic leukemia,160
C0023462,Acute Megakaryocytic Leukemias,161
C0023465,Acute monocytic leukemia,162
C1879321,Acute Myeloid Leukemia (AML-M2),163
C2930976,Acute myeloid leukemia FAB-M6,164
C4511003,Acute myeloid leukemia with t(8;16)(p11;p13) translocation,165
C0026998,"Acute Myeloid Leukemia, M1",166
C0023479,Acute myelomonocytic leukemia,167
C4706387,Acute necrotizing encephalopathy of childhood,168
C0023487,Acute Promyelocytic Leukemia,169
C0519066,Acute Q fever,170
C0267937,Acute recurrent pancreatitis,171
C0857501,Acute schizophrenia,172
