diseaseId,diseaseName,did
C0220748,Cartilage-hair hypoplasia,1180
C0265493,Cat eye syndrome,1181
C0007370,Catalepsy,1182
C0086543,Cataract,1183
C3808115,"CATARACT 12, MULTIPLE TYPES",1184
C3805373,CATARACT 13 WITH ADULT i PHENOTYPE,1185
C3809001,"CATARACT 15, MULTIPLE TYPES",1186
C3808377,"CATARACT 16, MULTIPLE TYPES",1187
C3888124,"CATARACT 17, MULTIPLE TYPES",1188
C3809004,"CATARACT 19, MULTIPLE TYPES",1189
C4721890,"CATARACT 2, MULTIPLE TYPES",1190
C3805410,"CATARACT 20, MULTIPLE TYPES",1191
C3888097,"CATARACT 21, MULTIPLE TYPES",1192
C3808012,"CATARACT 23, MULTIPLE TYPES",1193
C3808107,"CATARACT 33, MULTIPLE TYPES",1194
C3151304,CATARACT 36,1195
C3553494,CATARACT 38,1196
C3808800,"CATARACT 39, MULTIPLE TYPES",1197
C3540850,"CATARACT 4, MULTIPLE TYPES",1198
C3805412,CATARACT 41,1199
C4011454,CATARACT 42,1200
C4225389,CATARACT 43,1201
C4225300,CATARACT 44,1202
C4225182,CATARACT 45,1203
C0220721,"CATARACT 46, JUVENILE-ONSET",1204
C4310806,CATARACT 47,1205
C3888417,"CATARACT 5, MULTIPLE TYPES",1206
C1859317,Cataract and cardiomyopathy,1207
C1861829,Cataract microcornea syndrome,1208
C1855179,"CATARACT, ANTERIOR POLAR",1209
C1858679,"CATARACT, AUTOSOMAL DOMINANT",1210
C1969032,"Cataract, Autosomal Dominant, Multiple Types 1",1211
C3888098,"Cataract, Autosomal Recessive Congenital 1",1212
C1864908,"Cataract, autosomal recessive congenital 2",1213
C2751822,"Cataract, Autosomal Recessive Congenital 3",1214
C1854021,"Cataract, Central Saccular, With Sutural Opacities",1215
C1857853,"Cataract, Congenital Nuclear, Autosomal Recessive 2",1216
C1969062,"Cataract, Congenital Nuclear, Autosomal Recessive 3",1217
C1833229,"Cataract, Congenital Zonular, with Sutural Opacities",1218
C0344523,"Cataract, congenital, cerulean type 1",1219
C1832175,"Cataract, Congenital, Cerulean Type, 2",1220
C1852438,"CATARACT, COPPOCK-LIKE",1221
C1969644,"Cataract, Cortical, Juvenile-Onset",1222
C2677587,"Cataract, Juvenile, With Microcornea And Glucosuria",1223
C1861821,"CATARACT, MARNER TYPE",1224
C1861825,"CATARACT, POSTERIOR POLAR, 1",1225
C1854311,"Cataract, posterior polar, 3",1226
C1864567,"CATARACT, POSTERIOR POLAR, 4 (disorder)",1227
C1970386,"Cataract, Posterior Polar, 4, With Microphthalmia And Neurodevelopmental Abnormalities",1228
C1833118,"Cataract, Pulverulent",1229
C1857768,"Cataract, Pulverulent, Juvenile-Onset",1230
C1861828,"Cataract, Zonular Pulverulent 1",1231
C1866078,"Cataract, Zonular Pulverulent 3",1232
C1832812,"Cataracts, Congenital, with Sensorineural Deafness, Down Syndrome-Like Facial Appearance, Short Stature, and Mental Retardation",1233
C4014942,"CATARACTS, GROWTH HORMONE DEFICIENCY, SENSORY NEUROPATHY, SENSORINEURAL HEARING LOSS, AND SKELETAL DYSPLASIA",1234
C0007398,Catatonia,1235
C0750992,"Catatonia, Malignant",1236
C4053736,Catecholaminergic Polymorphic Ventricular Tachycardia Type 1,1237
C1844887,Catel Manzke syndrome,1238
C1842884,Caudal Duplication Anomaly,1239
C2609260,Caudal dysplasia syndrome,1240
C0300948,Caudal Regression Syndrome,1241
C1956260,"Cavernous Angioma, Central Nervous System",1242
C2919945,Cavernous Hemangioma of Brain,1243
C0752161,"Cavernous Hemangioma, Extracerebral",1244
C0752164,"Cavernous Hemangioma, Intracerebral",1245
C1969063,Cavitary Optic Disc Anomalies,1246
C1859049,CCHS WITH HIRSCHSPRUNG DISEASE,1247
C1837065,"CD8 Deficiency, Familial",1248
C0007570,Celiac Disease,1249
C1384403,Cellular Ependymoma,1250
C1536451,Central areolar choroidal sclerosis,1251
C0271801,Central hypothyroidism,1252
C1333813,Central Nervous System Germinoma,1253
C0750968,Central Nervous System Metabolic Disorders,1254
C0342543,Central Precocious Puberty,1255
C3810365,Central visual impairment,1256
C0221227,Centriacinar Emphysema,1257
C4511056,Centripetalis recessive dystrophic epidermolysis bullosa,1258
C0175709,Centronuclear myopathy,1259
C1859305,Cerebellar Ataxia and Hypogonadotropic Hypogonadism,1260
C4285893,Cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome,1261
C1832585,"CEREBELLAR ATAXIA, CAYMAN TYPE",1262
C0393519,"Cerebellar Ataxia, Early Onset",1263
C4014821,"Cerebellar ataxia, intellectual disability, oculomotor apraxia, cerebellar cysts syndrome",1264
C0393524,"Cerebellar Ataxia, Late Onset",1265
C4551552,"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 1",1266
C2750234,"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 2",1267
C2750509,"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 3",1268
C3808977,"CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 4",1269
C3553661,"CEREBELLAR ATAXIA, NONPROGRESSIVE, WITH MENTAL RETARDATION",1270
C0740279,Cerebellar atrophy,1271
C4539985,"CEREBELLAR ATROPHY, DEVELOPMENTAL DELAY, AND SEIZURES",1272
C4225172,"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION",1273
C0033132,"Cerebellar Degenerations, Primary",1274
C0266470,Cerebellar Hypoplasia,1275
C4015495,CEREBELLOFACIODENTAL SYNDROME,1276
C1867773,"CEREBRAL AMYLOID ANGIOPATHY, ITM2B-RELATED, 1",1277
C0917996,Cerebral Aneurysm,1278
C4225211,"CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 2",1279
C0750935,Cerebral Astrocytoma,1280
C0235946,Cerebral atrophy,1281
C1838577,Cerebral Autosomal Recessive Arteriopathy with Subcortical Infarcts and Leukoencephalopathy,1282
C1140710,Cerebral Cavernous Hemangioma,1283
C1864041,CEREBRAL CAVERNOUS MALFORMATIONS 2,1284
C1864040,Cerebral Cavernous Malformations 3,1285
C0751303,Cerebral Convexity Meningioma,1286
C1836033,"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome",1287
C0178540,Cerebral Hypoxia-Ischemia,1288
C0007785,Cerebral Infarction,1289
C0917798,Cerebral Ischemia,1290
C2751938,"Cerebral Palsy, Spastic Quadriplegic, 1",1291
C2752061,"Cerebral Palsy, Spastic Quadriplegic, 2",1292
C4310767,"CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 3",1293
C0751675,Cerebral Primitive Neuroectodermal Tumor,1294
C0079102,Cerebral Thrombosis,1295
C0936263,Cerebral Thrombus,1296
C0265110,Cerebral Vasospasm,1297
C0265342,Cerebrocostomandibular Syndrome,1298
C3501912,Cerebrocostomandibular-Like Syndrome,1299
C1859252,Cerebrofaciothoracic Dysplasia,1300
C0220722,Cerebrooculofacioskeletal Syndrome 1,1301
C2677299,CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS (disorder),1302
C4552029,CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS 1,1303
C4479220,CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS 2,1304
C4303791,Cerebroretinal vasculopathy,1305
C2931673,"Ceroid lipofuscinosis, neuronal 1, infantile",1306
C1850451,"CEROID LIPOFUSCINOSIS, NEURONAL, 1",1307
C3715049,"CEROID LIPOFUSCINOSIS, NEURONAL, 13",1308
C1876161,"CEROID LIPOFUSCINOSIS, NEURONAL, 2",1309
C1850442,"CEROID LIPOFUSCINOSIS, NEURONAL, 5",1310
C1866282,"CEROID LIPOFUSCINOSIS, NEURONAL, 6",1311
C1838571,"Ceroid Lipofuscinosis, Neuronal, 7",1312
C1838570,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",1313
C1834207,"Ceroid Lipofuscinosis, Neuronal, Parry Type",1314
C0878682,Ceruloplasmin deficiency,1315
C4048328,cervical cancer,1316
C1865819,"CERVICAL DYSTONIA, PRIMARY",1317
C0206708,Cervical Intraepithelial Neoplasia,1318
C0007852,Cervical Migraine Syndrome,1319
C0007862,Cervico-Brachial Neuralgia,1320
C3553720,CFHR5 DEFICIENCY,1321
C1868570,CHAR SYNDROME,1322
C0007959,Charcot-Marie-Tooth Disease,1323
C3695063,Charcot-Marie-Tooth disease type 4B3,1324
C1861678,"Charcot-Marie-Tooth Disease, Axonal, Type 2a1",1325
C1833219,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B (disorder)",1326
C4310790,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2CC",1327
C4747974,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2DD",1328
C1837805,"Charcot-Marie-Tooth disease, axonal, Type 2G",1329
C1842983,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2K",1330
C1837552,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2L (disorder)",1331
C2750090,"Charcot-Marie-Tooth Disease, Axonal, Type 2n",1332
C3280220,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2O",1333
C3280797,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2P",1334
C3554366,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Q",1335
C3809655,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2R",1336
C4015349,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2S",1337
C4084821,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2U",1338
C4225306,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2V",1339
C4225265,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2W",1340
C4225253,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2X",1341
C4225243,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Z",1342
C4748940,"CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1G",1343
C3540453,"CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 4F",1344
C1847902,"CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE B (disorder)",1345
C1842237,"Charcot-Marie-Tooth Disease, Dominant Intermediate C",1346
C1843075,"Charcot-Marie-Tooth Disease, Dominant Intermediate D",1347
C3280845,"CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE E",1348
C3554654,"CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE F",1349
C1842197,"Charcot-Marie-Tooth Disease, Recessive Intermediate A",1350
C3150897,"CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE B",1351
C3809309,"CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE C",1352
C4015029,"CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE D",1353
C0270913,"Charcot-Marie-Tooth disease, Type 1C",1354
C1843247,"Charcot-Marie-Tooth disease, Type 1D (disorder)",1355
C1854150,"Charcot-Marie-Tooth disease, Type 2B2",1356
C1832274,"Charcot-Marie-Tooth disease, Type 2D",1357
C3888087,"Charcot-Marie-Tooth disease, Type 2I",1358
C1843153,"Charcot-Marie-Tooth disease, Type 2J",1359
C1859198,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4A (disorder)",1360
C1843183,"Charcot-Marie-Tooth disease, Type 4A, axonal form",1361
C1832399,"Charcot-Marie-Tooth disease, Type 4B1",1362
C1858278,"Charcot-Marie-Tooth disease, Type 4B2",1363
C1858279,"Charcot-Marie-Tooth disease, Type 4B2, with early-onset glaucoma",1364
C1866636,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4C",1365
C4721437,"Charcot-Marie-Tooth disease, Type 4E",1366
C1836336,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4H",1367
C1970011,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4J",1368
C0270911,"Charcot-Marie-Tooth Disease, Type Ia (disorder)",1369
C0270912,"Charcot-Marie-Tooth Disease, Type Ib",1370
C3806702,"CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 6",1371
C1839566,"CHARCOT-MARIE-TOOTH DISEASE, X-LINKED RECESSIVE, 5",1372
C0393808,"Charcot-Marie-Tooth disease, X-linked, 1",1373
C0265354,CHARGE Syndrome,1374
C0007965,Chediak-Higashi Syndrome,1375
C4277682,Chemical and Drug Induced Liver Injury,1376
C4279912,Chemically-Induced Liver Toxicity,1377
C0008029,Cherubism,1378
C0555206,Chiari malformation type II,1379
C0024145,Chilblain lupus 1,1380
C3280721,CHILBLAIN LUPUS 2,1381
C0085996,Child Development Deviations,1382
C0085997,"Child Development Disorders, Specific",1383
C4281785,Childhood Absence Epilepsy,1384
C0023452,Childhood Acute Lymphoblastic Leukemia,1385
C1858991,Childhood Ataxia with Central Nervous System Hypomyelinization,1386
C0393675,Childhood Benign Occipital Epilepsy,1387
C0338070,Childhood Cerebral Astrocytoma,1388
C0220743,Childhood hypophosphatasia (disorder),1389
C0278510,Childhood Medulloblastoma,1390
C0280475,Childhood Oligodendroglioma,1391
C0752202,Childhood Onset Dystonias,1392
C0393540,Childhood Progressive Bulbar Palsy,1393
C0751553,Childhood Tic Disorders,1394
C4225178,Childhood-onset spasticity with hyperglycinemia,1395
C4310679,CHITAYAT SYNDROME,1396
C0263454,Chloracne,1397
C0008297,Choanal Atresia,1398
C3150875,CHOANAL ATRESIA AND LYMPHEDEMA,1399
C0206698,Cholangiocarcinoma,1400
C0008311,Cholangitis,1401
C0008313,"Cholangitis, Sclerosing",1402
C0008325,Cholecystitis,1403
C0947622,Cholecystolithiasis,1404
C0008340,Choledochal Cyst,1405
C0009439,"Choledochal Cyst, Type I",1406
C1257796,"Choledochal Cyst, Type II",1407
C1257797,"Choledochal Cyst, Type III",1408
C1257798,"Choledochal Cyst, Type IV",1409
C1257799,"Choledochal Cyst, Type V",1410
C0701818,Choledocholithiasis,1411
C0008350,Cholelithiasis,1412
C1565321,Cholera Infantum,1413
C0008370,Cholestasis,1414
C0268318,Cholestasis of pregnancy,1415
C4551899,"Cholestasis, benign recurrent intrahepatic 1",1416
C2608083,"Cholestasis, benign recurrent intrahepatic 2",1417
C0005398,"Cholestasis, Extrahepatic",1418
C3554241,"CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3",1419
C3549845,"CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 1",1420
C4551898,"Cholestasis, progressive familial intrahepatic 1",1421
C1865643,"Cholestasis, progressive familial intrahepatic 3",1422
C2931067,"Cholestasis, progressive familial intrahepatic 4",1423
C3489789,"Cholestasis, Progressive Familial Intrahepatic, 2",1424
C4310747,"CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 5",1425
C0008384,Cholesterol Ester Storage Disease,1426
C0342883,Cholesteryl Ester Transfer Protein Deficiency,1427
C0008441,Chondroblastoma,1428
C0008445,Chondrodysplasia Punctata,1429
C0282529,"Chondrodysplasia Punctata, Rhizomelic",1430
C3279757,"CHONDRODYSPLASIA WITH JOINT DISLOCATIONS, GPAPP TYPE",1431
C1836182,"Chondrodysplasia, acromesomelic, with genital anomalies",1432
C1859148,"Chondrodysplasia, blomstrand type",1433
C0265260,"Chondrodysplasia, Grebe type",1434
C2750075,"Chondrodysplasia, Megarbane-Dagher-Melki Type",1435
C0085700,Chondromalacia,1436
C0221290,Chondromyxoid fibroma,1437
C0008479,Chondrosarcoma,1438
C4085597,CHOPS SYNDROME,1439
C0008487,Chordoma,1440
C0393576,Chorea Acanthocytosis Syndrome,1441
C1859098,"Chorea, Benign Familial",1442
C4310787,"CHOREA, CHILDHOOD-ONSET, WITH PSYCHOMOTOR RETARDATION",1443
C0238056,"Chorea, Senile",1444
C1859093,"Chorioretinal Dystrophy, Spinocerebellar Ataxia, and Hypogonadotropic Hypogonadism",1445
C4551884,"Choroidal Dystrophy, Central Areolar 1",1446
C2751290,"CHOROIDAL DYSTROPHY, CENTRAL AREOLAR 2",1447
C0344297,Choroidal sclerosis,1448
C0008525,Choroideremia,1449
C0162359,Christ-Siemens-Touraine syndrome,1450
C1266042,Chromophobe Renal Cell Carcinoma,1451
C4225431,CHROMOSOME 10p12-p11 DELETION SYNDROME,1452
C1832588,Chromosome 11p11.2 Deletion Syndrome,1453
C2677613,Chromosome 15q13.3 Microdeletion Syndrome,1454
C4225666,CHROMOSOME 15q14 DELETION SYNDROME,1455
C2675463,Chromosome 15q26-Qter Deletion Syndrome,1456
C3150701,"CHROMOSOME 16p11.2 DELETION SYNDROME, 220-KB",1457
C3150154,"CHROMOSOME 16p11.2 DELETION SYNDROME, 593-KB",1458
C4225667,CHROMOSOME 16p13.2 DELETION SYNDROME,1459
C2931713,Chromosome 17 deletion,1460
C2750748,Chromosome 17p13.3 Duplication Syndrome,1461
C3281138,CHROMOSOME 17q12 DELETION SYNDROME,1462
C1864871,Chromosome 17q21.31 Deletion Syndrome,1463
C3150607,CHROMOSOME 17q23.1-q23.2 DELETION SYNDROME,1464
C3150880,CHROMOSOME 17q23.1-q23.2 DUPLICATION SYNDROME,1465
C4311048,"CHROMOSOME 19q13.11 DELETION SYNDROME, DISTAL",1466
C1842870,Chromosome 1p36 Deletion Syndrome,1467
C2678480,"Chromosome 22q11.2 Deletion Syndrome, Distal",1468
C3808494,CHROMOSOME 2p16.3 DELETION SYNDROME,1469
C2676739,Chromosome 2q32-Q33 Deletion Syndrome,1470
C2931817,Chromosome 2q37 deletion syndrome,1471
C0795806,"Chromosome 3, monosomy 3p",1472
C2931337,"Chromosome 3, monosomy 3p25",1473
C2931574,"Chromosome 5, monosomy 5q35",1474
C2750805,Chromosome 5p13 Duplication Syndrome,1475
C3150215,CHROMOSOME 6q24-q25 DELETION SYNDROME,1476
C1563697,Chromosome Instability Syndromes,1477
C2749022,Chromosome Xp11.23-P11.22 Duplication Syndrome,1478
C0520463,Chronic active hepatitis,1479
C1527303,Chronic Airflow Obstruction,1480
C0524610,Chronic Alcoholic Hepatitis,1481
C4015474,Chronic atrial and intestinal dysrhythmia,1482
C0401151,Chronic diarrhea,1483
C0346421,Chronic eosinophilic leukemia,1484
C0264716,Chronic heart failure,1485
C0409818,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",1486
C0751249,Chronic Insomnia,1487
C0600040,Chronic interstitial cystitis,1488
C2316810,Chronic kidney disease stage 5,1489
C0403447,Chronic Kidney Insufficiency,1490
C2936476,Chronic Liver Failure,1491
C2350344,Chronic Lung Injury,1492
C0023434,Chronic Lymphocytic Leukemia,1493
C1292778,Chronic myeloproliferative disorder,1494
C0746882,Chronic neutropenia,1495
C0023481,Chronic Neutrophilic Leukemia,1496
C0024117,Chronic Obstructive Airway Disease,1497
C0149519,Chronic Persistent Hepatitis,1498
C0699728,Chronic progressive chorea,1499
C0162674,Chronic progressive external ophthalmoplegia,1500
C1443892,Chronic Q Fever,1501
C0221765,Chronic schizophrenia,1502
C1858695,Chudley-Mccullough syndrome,1503
C0795956,Chylomicron retention disease,1504
C4551906,"Ciliary Dyskinesia, Primary, 1, With Or Without Situs Inversus",1505
C2675867,"CILIARY DYSKINESIA, PRIMARY, 10",1506
C2675229,"CILIARY DYSKINESIA, PRIMARY, 11",1507
C2675228,"CILIARY DYSKINESIA, PRIMARY, 12",1508
C2750790,"CILIARY DYSKINESIA, PRIMARY, 13",1509
C3151136,"CILIARY DYSKINESIA, PRIMARY, 14",1510
C3151137,"CILIARY DYSKINESIA, PRIMARY, 15",1511
C3151460,"CILIARY DYSKINESIA, PRIMARY, 16",1512
C3542550,"CILIARY DYSKINESIA, PRIMARY, 17",1513
C3543825,"CILIARY DYSKINESIA, PRIMARY, 18",1514
C3543826,"CILIARY DYSKINESIA, PRIMARY, 19",1515
C1847554,"CILIARY DYSKINESIA, PRIMARY, 2 (disorder)",1516
C3540844,"CILIARY DYSKINESIA, PRIMARY, 20",1517
C3809087,"CILIARY DYSKINESIA, PRIMARY, 21",1518
C3809543,"CILIARY DYSKINESIA, PRIMARY, 22",1519
C3809548,"CILIARY DYSKINESIA, PRIMARY, 23",1520
C3809634,"CILIARY DYSKINESIA, PRIMARY, 24",1521
C3809641,"CILIARY DYSKINESIA, PRIMARY, 25",1522
C3809684,"CILIARY DYSKINESIA, PRIMARY, 26",1523
C3809701,"CILIARY DYSKINESIA, PRIMARY, 27",1524
C3809706,"CILIARY DYSKINESIA, PRIMARY, 28",1525
C4014534,"CILIARY DYSKINESIA, PRIMARY, 29",1526
C1837618,"CILIARY DYSKINESIA, PRIMARY, 3",1527
C4015016,"CILIARY DYSKINESIA, PRIMARY, 30",1528
C4225311,"CILIARY DYSKINESIA, PRIMARY, 32",1529
C4225230,"CILIARY DYSKINESIA, PRIMARY, 33",1530
C4310722,"CILIARY DYSKINESIA, PRIMARY, 34",1531
C4310721,"CILIARY DYSKINESIA, PRIMARY, 35",1532
C4478372,"CILIARY DYSKINESIA, PRIMARY, 36, X-LINKED",1533
C4539798,"CILIARY DYSKINESIA, PRIMARY, 37",1534
C4748052,"CILIARY DYSKINESIA, PRIMARY, 38",1535
C4748841,"CILIARY DYSKINESIA, PRIMARY, 39",1536
C4749028,"CILIARY DYSKINESIA, PRIMARY, 40",1537
C1837615,"Ciliary Dyskinesia, Primary, 5",1538
C1970506,"CILIARY DYSKINESIA, PRIMARY, 6",1539
C2678473,"CILIARY DYSKINESIA, PRIMARY, 7 (disorder)",1540
C4552030,"Ciliary Dyskinesia, Primary, 7, With Or Without Situs Inversus",1541
C2676235,"CILIARY DYSKINESIA, PRIMARY, 9",1542
C4277690,Ciliopathies,1543
C0813142,Circadian Rhythm Disorders,1544
C1623038,Cirrhosis,1545
C1861556,"Cirrhosis, Familial",1546
C0175683,Citrullinemia,1547
C4721769,Citrullinemia Type 1,1548
C1853942,"CITRULLINEMIA, TYPE II, NEONATAL-ONSET",1549
C3151781,CK syndrome,1550
C0268568,Classic Maple Syrup Urine Disease,1551
C0751916,Classic Pelizaeus-Merzbacher Disease,1552
C0268151,Classical galactosemia,1553
C1955870,Classical Lissencephalies and Subcortical Band Heterotopias,1554
C0431375,Classical Lissencephaly,1555
C0751434,Classical phenylketonuria,1556
C1518693,Clear cell adenocarcinoma of ovary,1557
C0431121,Clear Cell Meningioma,1558
C4518333,Clear cell papillary renal cell carcinoma,1559
C0334488,Clear cell sarcoma of kidney,1560
C0206651,Clear Cell Sarcoma of Soft Tissue,1561
C1298692,Cleft lip and alveolus,1562
C0810364,Cleft Lip with or without Cleft Palate,1563
C0432090,Cleft of hard palate,1564
C0008925,Cleft Palate,1565
C0158646,Cleft palate with cleft lip,1566
C1837218,"Cleft palate, isolated",1567
C4225229,"CLEFT PALATE, PSYCHOMOTOR RETARDATION, AND DISTINCTIVE FACIAL FEATURES",1568
C1844830,"CLEFT PALATE, X-LINKED",1569
C0432098,Cleft Soft Palate,1570
C0008924,Cleft upper lip,1571
C0266122,Cleft uvula,1572
C2362914,clinical depression,1573
C2350037,"Clinically Isolated Syndrome, CNS Demyelinating",1574
C4551485,Clinodactyly,1575
C0265610,Clinodactyly of fingers,1576
C0234535,Clonic Seizures,1577
C0520947,Clumsiness - motor delay,1578
C1857662,COACH syndrome,1579
C0431376,Cobblestone Lissencephaly,1580
C0009171,Cocaine Abuse,1581
C0600427,Cocaine Dependence,1582
C3496069,cocaine use,1583
C0236701,Cocaine-induced mood disorder,1584
C0009207,Cockayne Syndrome,1585
C0751039,"Cockayne Syndrome, Type I",1586
C0751038,"Cockayne Syndrome, Type II",1587
C0751037,"Cockayne Syndrome, Type III",1588
C0751918,Cockayne-Pelizaeus-Merzbacher Disease,1589
C0079136,Cockayne-Touraine Disease,1590
C3150891,COCOON SYNDROME,1591
C1838180,CODAS syndrome,1592
C4517377,Coenzyme A synthase protein associated neurodegeneration,1593
C1843920,COENZYME Q10 DEFICIENCY,1594
C3551954,"COENZYME Q10 DEFICIENCY, PRIMARY, 1",1595
C3553354,"COENZYME Q10 DEFICIENCY, PRIMARY, 2",1596
C3553358,"COENZYME Q10 DEFICIENCY, PRIMARY, 3",1597
C3553374,"COENZYME Q10 DEFICIENCY, PRIMARY, 5",1598
C3553349,"COENZYME Q10 DEFICIENCY, PRIMARY, 6",1599
C4225392,"COENZYME Q10 DEFICIENCY, PRIMARY, 7",1600
C4225226,"COENZYME Q10 DEFICIENCY, PRIMARY, 8",1601
C0265338,Coffin-Siris syndrome,1602
C4310788,COFFIN-SIRIS SYNDROME 5,1603
C4747954,COFFIN-SIRIS SYNDROME 7,1604
C3150876,COG5 congenital disorder of glycosylation,1605
C3280415,COGNITIVE IMPAIRMENT WITH OR WITHOUT CEREBELLAR ATAXIA,1606
C0265223,Cohen syndrome,1607
C4479654,COHEN-GIBSON SYNDROME,1608
C0175816,Cold Hemagglutinin Disease,1609
C0086774,Cold paroxysmal hemoglobinuria,1610
C1848947,COLD-INDUCED SWEATING SYNDROME 1,1611
C1853198,COLD-INDUCED SWEATING SYNDROME 2,1612
C1862178,Cole Carpenter syndrome,1613
C4225382,COLE-CARPENTER SYNDROME 2,1614
C0009319,Colitis,1615
C1266044,Collecting Duct Carcinoma of the Kidney,1616
C3543867,Collodion Fetus,1617
C4708599,Coloboma of choroid and retina,1618
C0344516,Coloboma of lens,1619
C0155299,Coloboma of optic disc,1620
C4011974,"COLOBOMA, OCULAR, AUTOSOMAL RECESSIVE",1621
C0699790,Colon Carcinoma,1622
C0242225,Color blindness,1623
C0155018,"Color Blindness, Acquired",1624
C0155017,"Color Blindness, Blue",1625
C0751042,"Color Blindness, Inherited",1626
C0155015,"Color Blindness, Red",1627
C0155016,"Color Blindness, Red-Green",1628
C1837991,"Colorectal Adenomatous Polyposis, Autosomal Recessive",1629
C2936783,"Colorectal cancer, hereditary nonpolyposis, type 1",1630
C1858380,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 7 (disorder)",1631
C1837315,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 1",1632
C2675481,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 10",1633
C3554460,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 12",1634
C0009402,Colorectal Carcinoma,1635
C0751812,"Coma, Post-Traumatic, Prolonged",1636
C2673536,Combined Cellular And Humoral Immune Defects With Granulomas,1637
C2746066,Combined D-2- and L-2-hydroxyglutaric aciduria,1638
C0494261,Combined immunodeficiency,1639
C4540434,COMBINED IMMUNODEFICIENCY AND MEGALOBLASTIC ANEMIA WITH OR WITHOUT HYPERHOMOCYSTEINEMIA,1640
C3280314,Combined Malonic and Methylmalonic Aciduria,1641
C0268119,Combined molybdoflavoprotein enzyme deficiency,1642
C1836797,Combined Oxidative Phosphorylation Deficiency 1,1643
C3553529,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 10,1644
C3554067,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11,1645
C3554079,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 12,1646
C3554129,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 13,1647
C3554168,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14,1648
C3554182,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 15,1649
C3809339,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 16,1650
