TopK,1,5,10,15,20,25,30,35,50,100,150,200,250,300
hit,0.0,0.03627241698375028,0.04599419549802968,0.05191873614918332,0.0679147842554737,0.0996698964578736,0.10931462304212575,0.12901424865618358,0.20219477372137204,0.41672552185928763,0.7069776998283616,0.9095028743690281,1.1331031665234397,1.335040775083576
hit_ratio,0.0,0.0072544833967500555,0.004599419549802968,0.003461249076612221,0.0033957392127736854,0.003986795858314945,0.0036438207680708572,0.0036861213901766754,0.004043895474427443,0.004167255218592876,0.00471318466552241,0.0045475143718451405,0.004532412666093761,0.004450135916945252
recall,0.0,0.0026174416242184203,0.0033218136084741273,0.004126196125092856,0.005495587735267053,0.006738557561150739,0.007428438889187762,0.009423622826201213,0.012172560543971537,0.025458532897768824,0.04299035814243078,0.05429323081065807,0.06444764551110327,0.0734936166949937
precision,0.0,0.0072544833967500555,0.004599419549802968,0.003461249076612221,0.0033957392127736854,0.003986795858314945,0.0036438207680708572,0.0036861213901766754,0.004043895474427443,0.004167255218592876,0.00471318466552241,0.0045475143718451405,0.004532412666093761,0.004450135916945252
F1,0.0,0.003044919207515051,0.0029506961421932867,0.002926479193598816,0.0033682336949209654,0.003952476018705158,0.003929099240401215,0.004431823758728282,0.0050969147292810185,0.006378210370979228,0.007803538965405602,0.007854108665289187,0.007949475526752915,0.007909516667285257
MCC,-0.0004212413085328854,0.0027949001609243896,0.0020326087467947306,0.0016536097000024784,0.0019308013731727893,0.0024240351640968153,0.0022658004931622564,0.0027920747290721467,0.003284891717757919,0.005102112938560496,0.007782337129361034,0.008380809407592555,0.008813703213338249,0.008998272222983605
ACC_num,0.0,0.03627241698375028,0.04599419549802968,0.05191873614918332,0.0679147842554737,0.0996698964578736,0.10931462304212575,0.12901424865618358,0.20219477372137204,0.41672552185928763,0.7069776998283616,0.9095028743690281,1.1331031665234397,1.335040775083576
ACC,0.9978965890730701,0.9974428777080794,0.9968673840181538,0.9962909954243179,0.9957169467940642,0.9951466598350802,0.9945711408519533,0.9939979264797335,0.9922818260040644,0.9865542909169638,0.9808443448565664,0.9751139512995921,0.9693889516094202,0.963658894287133
AUC,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938,0.5139460742701938
AUPR,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826,0.0037632505017820826
avgPrecision,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414,0.004837750749907414
