GOID,id
0007004,0
0016233,1
0032202,2
0032206,3
0032210,4
0032211,5
0032212,6
0032508,7
0060383,8
0061820,9
0070200,10
2001032,11
0005515,12
0010521,13
0017151,14
0042162,15
0043047,16
0061821,17
0061849,18
0098505,19
1905773,20
1990955,21
0000781,22
0000783,23
0005654,24
0070187,25
0000387,26
0006338,27
0006355,28
0018216,29
0043393,30
0071514,31
0008757,32
0016274,33
0035241,34
0035243,35
0042054,36
0042393,37
0043021,38
0044020,39
0140939,40
0001650,41
0005634,42
0005829,43
0000122,44
0008284,45
0042632,46
0045893,47
0045944,48
0071919,49
2000767,50
0003723,51
0003727,52
0003729,53
0008270,54
0045182,55
0051880,56
0005737,57
0005783,58
0001837,59
0010468,60
0016556,61
0071230,62
0141166,63
1904580,64
2000623,65
0044877,66
1990837,67
0000785,68
0030425,69
0045293,70
0071598,71
0090575,72
1990904,73
0006915,74
0006977,75
0015914,76
0030330,77
0034644,78
0043066,79
0045332,80
0090201,81
0097035,82
0120009,83
1902166,84
2001140,85
0002039,86
1990050,87
0005739,88
0005758,89
0032991,90
0006457,91
0008625,92
0010658,93
0010664,94
0021510,95
0034605,96
0034620,97
0042307,98
0046716,99
0046827,100
0050821,101
0070842,102
0071260,103
0097192,104
0098840,105
1903215,106
1905337,107
0000774,108
0045296,109
0045505,110
0051087,111
0140597,112
0016020,113
0016235,114
0030018,115
0101031,116
0001553,117
0006357,118
0006366,119
0007530,120
0007538,121
0008584,122
0008585,123
0009755,124
0009888,125
0010628,126
0030238,127
0030325,128
0030522,129
0033327,130
0042445,131
0050810,132
0051457,133
0060008,134
0097210,135
0097720,136
2000020,137
2000195,138
0000977,139
0000978,140
0000981,141
0001221,142
0003677,143
0003682,144
0004879,145
0005543,146
0019899,147
0043565,148
0000398,149
0003712,150
0071013,151
0006094,152
0006096,153
0019242,154
0019563,155
0046166,156
0061621,157
0004807,158
0008929,159
0031625,160
0042803,161
0005615,162
0070062,163
0001894,164
0006281,165
0006282,166
0006974,167
0016567,168
0031441,169
0035825,170
0042325,171
0043065,172
0044818,173
0045732,174
0045786,175
0046826,176
0051726,177
0071479,178
0085020,179
0110025,180
2000001,181
0004842,182
0019900,183
0046872,184
0046982,185
0061649,186
0140863,187
0140864,188
0000151,189
0000152,190
0016607,191
0031436,192
0036464,193
0070531,194
0070532,195
0070533,196
0000712,197
0000819,198
0002244,199
0006265,200
0006266,201
0007059,202
0007143,203
0030263,204
0040016,205
0042752,206
0045870,207
0048511,208
1905463,209
0000287,210
0003918,211
0005080,212
0005524,213
0008094,214
0008301,215
0034335,216
0043130,217
0000228,218
0000775,219
0000793,220
0001673,221
0005730,222
0005814,223
0009330,224
0000212,225
0001525,226
0001701,227
0001768,228
0001778,229
0006509,230
0006911,231
0007229,232
0007520,233
0008360,234
0015031,235
0030036,236
0030048,237
0030220,238
0030224,239
0031032,240
0032418,241
0032506,242
0032796,243
0035987,244
0043534,245
0045055,246
0046718,247
0050900,248
0051295,249
0060471,250
0070527,251
1903919,252
1903923,253
1905684,254
0000146,255
0001618,256
0003774,257
0003779,258
0005178,259
0005516,260
0019904,261
0042802,262
0043495,263
0043531,264
0051015,265
0001725,266
0001726,267
0001772,268
0001931,269
0005819,270
0005826,271
0005886,272
0005903,273
0005912,274
0005925,275
0008180,276
0009898,277
0009986,278
0015629,279
0016460,280
0016604,281
0031252,282
0031594,283
0032154,284
0032982,285
0042641,286
0060473,287
0097513,288
0003012,289
0006887,290
0007517,291
0010832,292
0043161,293
0043569,294
0045087,295
0046627,296
0051260,297
0001786,298
0031435,299
0031624,300
0061630,301
0030659,302
0042383,303
0006352,304
0006367,305
0042789,306
0043484,307
0051123,308
0060261,309
0003713,310
0016251,311
0017025,312
0140297,313
0000124,314
0005669,315
0033276,316
0000724,317
0006301,318
0006302,319
0006633,320
0007095,321
0007098,322
0007549,323
0008630,324
0010212,325
0010575,326
0030308,327
0033147,328
0043009,329
0044027,330
0045717,331
0045739,332
0045766,333
0045892,334
0046600,335
0051865,336
0060816,337
0071356,338
0071681,339
1902042,340
2000378,341
0000976,342
0001216,343
0003684,344
0015631,345
0070063,346
0000800,347
0000931,348
0001741,349
0005694,350
0043232,351
1990391,352
0000462,353
0030490,354
0042274,355
0030686,356
0032040,357
0034455,358
0007035,359
0016241,360
0046034,361
0097401,362
1902600,363
0015078,364
0046961,365
0000221,366
0005765,367
0005902,368
0016324,369
0030665,370
0042470,371
0043231,372
0098850,373
0006879,374
0006955,375
0036295,376
0061795,377
0051117,378
0000139,379
0000220,380
0001669,381
0010008,382
0016471,383
0030670,384
0033176,385
0048471,386
0000722,387
0000730,388
0006268,389
0006310,390
0006312,391
0007131,392
0009410,393
0009636,394
0010165,395
0010569,396
0010833,397
0031297,398
0036297,399
0042148,400
0051106,401
0051321,402
0070192,403
0071480,404
0072711,405
0072719,406
0072757,407
1904631,408
1990414,409
1990426,410
1990918,411
0000150,412
0003690,413
0003697,414
0016887,415
0017116,416
0070182,417
0140664,418
0000794,419
0005759,420
0005813,421
0016605,422
0035861,423
0099182,424
0019941,425
0031386,426
0005741,427
0005789,428
0030666,429
0031982,430
0001754,431
0006508,432
0007005,433
0007628,434
0008285,435
0021702,436
0021772,437
0021954,438
0035608,439
0035609,440
0035610,441
0050905,442
0060041,443
0098957,444
0098958,445
2000060,446
0004181,447
0015630,448
1904115,449
0006414,450
0045727,451
0003746,452
0003924,453
0005525,454
0019901,455
0043022,456
0005576,457
0005840,458
0034774,459
0045202,460
1904813,461
0006396,462
0008266,463
1905143,464
0044183,465
0001756,466
0001764,467
0007169,468
0008154,469
0035855,470
0048813,471
0048858,472
0061098,473
0072673,474
0008092,475
0017124,476
0030296,477
0035591,478
0005856,479
0014069,480
0030027,481
0030426,482
0031209,483
0032433,484
0098858,485
0001501,486
0006417,487
0014029,488
0014032,489
0042790,490
0030674,491
0097110,492
0006289,493
0010564,494
0016579,495
0045066,496
0045841,497
0051301,498
0090266,499
0140374,500
1904667,501
0004843,502
0101005,503
0072686,504
0006939,505
0006954,506
0007166,507
0007186,508
0007204,509
0008015,510
0009651,511
0019229,512
0042310,513
0042311,514
0043114,515
0050482,516
1902239,517
1990127,518
0002020,519
0004435,520
0004947,521
0031702,522
0005768,523
0005794,524
0008277,525
0009966,526
0016055,527
0004703,528
0047696,529
0006468,530
0006940,531
0007088,532
0007346,533
0010506,534
0017148,535
0030335,536
0032956,537
0035556,538
0042981,539
0043519,540
0046777,541
0051893,542
0071346,543
0090263,544
0097190,545
2000145,546
0004672,547
0004674,548
0004676,549
0004677,550
0004679,551
0004694,552
0004711,553
0008140,554
0031267,555
0035175,556
0035402,557
0035403,558
0035979,559
0043522,560
0044022,561
0044023,562
0044024,563
0044025,564
0072354,565
0072371,566
0072518,567
0106310,568
0140823,569
0140855,570
0140857,571
1990244,572
0030496,573
0006897,574
0007015,575
0032465,576
0034642,577
0090140,578
0160040,579
0032027,580
0060002,581
0016459,582
0006882,583
0018108,584
0030097,585
0030168,586
0030217,587
0031295,588
0034116,589
0038083,590
0038094,591
0042110,592
0050852,593
0050853,594
0050862,595
0050870,596
0051209,597
0051249,598
0160162,599
1903039,600
2001056,601
2001244,602
0001784,603
0004713,604
0004715,605
0004722,606
0005102,607
0016004,608
0019903,609
0035401,610
0042169,611
0042608,612
0042609,613
0042610,614
0043274,615
0043548,616
0140801,617
0000242,618
0045121,619
0007165,620
0007173,621
0007265,622
0008286,623
0008543,624
0014044,625
0030838,626
0031623,627
0042267,628
0042552,629
0042770,630
0043408,631
0045953,632
0048009,633
0060670,634
2000379,635
0005068,636
0005091,637
0005154,638
0005168,639
0043560,640
0046875,641
0005911,642
0005938,643
0012506,644
0070436,645
0000278,646
0007099,647
0010172,648
0035082,649
0060271,650
0060287,651
0090307,652
2000314,653
0043014,654
0043015,655
0060090,656
0005929,657
0031514,658
0034451,659
0036064,660
0000086,661
0006892,662
0006898,663
0006909,664
0006914,665
0016185,666
0019886,667
0030516,668
0033572,669
0043149,670
0048489,671
0048812,672
0051258,673
0061024,674
0061572,675
0097749,676
0099050,677
1903526,678
0005546,679
0008017,680
1990606,681
0001891,682
0002102,683
0005874,684
0005905,685
0030136,686
0043005,687
0045211,688
0055037,689
0098793,690
0000209,691
0000266,692
0000422,693
0000423,694
0001933,695
0001964,696
0006511,697
0006513,698
0006979,699
0007417,700
0007612,701
0008344,702
0010498,703
0010629,704
0010636,705
0010637,706
0010821,707
0010906,708
0010994,709
0014059,710
0016236,711
0031396,712
0031647,713
0031648,714
0032092,715
0032232,716
0032368,717
0032436,718
0033132,719
0034599,720
0034976,721
0035249,722
0035519,723
0036503,724
0042053,725
0042415,726
0042417,727
0043123,728
0043388,729
0043524,730
0044314,731
0044828,732
0046329,733
0046676,734
0051582,735
0051583,736
0051881,737
0060544,738
0060828,739
0061734,740
0070050,741
0070534,742
0070585,743
0070936,744
0070979,745
0071287,746
0090090,747
0090141,748
0097237,749
0099074,750
0140251,751
1900242,752
1900407,753
1901526,754
1901800,755
1902236,756
1902254,757
1902283,758
1902530,759
1902803,760
1903214,761
1903265,762
1903351,763
1903377,764
1903382,765
1903542,766
1903861,767
1904049,768
1905091,769
1905281,770
1905366,771
1905477,772
1990000,773
2000377,774
0001664,775
0003714,776
0008013,777
0030165,778
0030544,779
0031072,780
0042826,781
0097602,782
1990381,783
1990444,784
0019005,785
0097413,786
0098691,787
0099073,788
1990452,789
0032020,790
0042296,791
0061631,792
0006406,793
0016446,794
0016973,795
0034728,796
0003676,797
0004402,798
0010484,799
0032931,800
0036408,801
0043992,802
0043993,803
0043994,804
0043995,805
0043996,806
0043997,807
0043999,808
0044012,809
0044014,810
0044015,811
0044016,812
0044017,813
0044018,814
0046972,815
0140908,816
0031965,817
0044615,818
0070390,819
0001558,820
0007155,821
0007156,822
0050806,823
0051965,824
0090128,825
0098969,826
0099003,827
0001540,828
0005509,829
0019894,830
0042988,831
0098845,832
0098978,833
0002933,834
0006629,835
0006706,836
0006805,837
0008202,838
0008203,839
0008209,840
0008210,841
0009822,842
0016098,843
0036378,844
0042178,845
0042359,846
0042369,847
0042572,848
0042573,849
0042759,850
0046222,851
0070989,852
0004497,853
0005496,854
0005506,855
0008395,856
0008401,857
0016491,858
0016712,859
0019825,860
0020037,861
0030343,862
0034875,863
0050591,864
0050649,865
0062181,866
0062187,867
0062188,868
0062189,869
0070576,870
0101020,871
0101021,872
0102320,873
0002548,874
0006397,875
0008380,876
0030593,877
0030855,878
0031334,879
0031640,880
0042129,881
0045806,882
0048245,883
0048246,884
0050860,885
0050918,886
0051134,887
0061844,888
0070232,889
0071674,890
0071677,891
0090280,892
1902041,893
1903078,894
2000521,895
2001189,896
2001200,897
2001237,898
0004864,899
0019863,900
0030246,901
0030547,902
0042056,903
0043236,904
0048030,905
0070492,906
0140693,907
0141069,908
0005681,909
0005743,910
0030667,911
0062023,912
0101003,913
0000132,914
0021987,915
0046605,916
0050727,917
0060348,918
0060623,919
0071539,920
0097150,921
0000381,922
0006405,923
0042149,924
0051028,925
0051168,926
0051170,927
1903936,928
0003730,929
0035198,930
0036002,931
0061752,932
0000226,933
0000281,934
0001570,935
0001890,936
0007030,937
0050775,938
0160072,939
0005680,940
0031467,941
1990393,942
0006272,943
0006287,944
0006298,945
0007507,946
0019985,947
0032077,948
0032355,949
0044849,950
0045740,951
0046686,952
0070301,953
0071466,954
0071548,955
0097421,956
1900264,957
1902065,958
1902990,959
0000701,960
0030331,961
0030337,962
0030971,963
0032139,964
0032405,965
0035035,966
0000307,967
0005652,968
0005657,969
0030894,970
0043596,971
0043626,972
0070557,973
0006099,974
0006108,975
0006734,976
0009060,977
0043490,978
0030060,979
0046554,980
0007160,981
0007179,982
0007267,983
0045335,984
0030154,985
0003700,986
0001711,987
0006368,988
0019827,989
0030177,990
0031124,991
0031442,992
0032968,993
0045638,994
0048147,995
0050680,996
0071222,997
1902808,998
2000134,999
0000993,1000
0016593,1001
0001714,1002
0035019,1003
0045595,1004
2000648,1005
0001227,1006
0005667,1007
0016592,1008
0070847,1009
0006446,1010
0034063,1011
0070934,1012
0070966,1013
0075522,1014
1900152,1015
0035613,1016
0106222,1017
1905172,1018
0000932,1019
0010494,1020
0070937,1021
0106002,1022
0002092,1023
0007259,1024
0010828,1025
0019221,1026
0031667,1027
0040018,1028
0043406,1029
0043568,1030
0046427,1031
0048513,1032
0051897,1033
0060396,1034
0060397,1035
0070977,1036
0097696,1037
0005125,1038
0005131,1039
0005148,1040
0005179,1041
0008083,1042
0070186,1043
0031904,1044
0070195,1045
0001568,1046
0001763,1047
0002042,1048
0007368,1049
0008595,1050
0009792,1051
0009952,1052
0010595,1053
0018105,1054
0030879,1055
0035729,1056
0038092,1057
0043410,1058
0044344,1059
0050731,1060
0071354,1061
0071364,1062
0038100,1063
0070697,1064
0019897,1065
0098552,1066
0014037,1067
0016477,1068
0030200,1069
0032288,1070
0040037,1071
1905475,1072
2001016,1073
0005507,1074
0017134,1075
0005796,1076
0031012,1077
0043202,1078
0000380,1079
0006376,1080
0043279,1081
0048025,1082
0010265,1083
0043086,1084
0045899,1085
0031461,1086
0001822,1087
0042771,1088
0045665,1089
0048714,1090
0051262,1091
0060044,1092
1901248,1093
0001222,1094
0001228,1095
0061629,1096
0097371,1097
0030054,1098
0000082,1099
0000165,1100
0001658,1101
0002053,1102
0010332,1103
0016072,1104
0032204,1105
0032873,1106
0032986,1107
0044346,1108
0045656,1109
0048146,1110
0050679,1111
0051276,1112
0051782,1113
0060633,1114
0070371,1115
