GeneID,id
25913,0
54496,1
7555,2
3182,3
51499,4
9531,5
2516,6
22913,7
7167,8
83987,9
56945,10
580,11
7153,12
4627,13
493829,14
6314,15
6883,16
672,17
84916,18
526,19
23545,20
5888,21
7316,22
23287,23
1938,24
3187,25
8872,26
10006,27
6949,28
84101,29
624,30
2870,31
1613,32
80179,33
3932,34
2885,35
8481,36
1785,37
5071,38
7324,39
8888,40
22883,41
1528,42
1576,43
3958,44
79648,45
3178,46
9820,47
5111,48
4191,49
7791,50
11244,51
79577,52
79923,53
9442,54
84246,55
7812,56
2688,57
6997,58
2817,59
8683,60
55832,61
7161,62
4609,63
3480,64
409,65
27,66
4734,67
26112,68
9070,69
2099,70
9971,71
3835,72
57448,73
4171,74
1828,75
5925,76
1124,77
81855,78
56993,79
6780,80
57545,81
653784,82
222229,83
84033,84
84458,85
351,86
22976,87
254827,88
1952,89
4163,90
56681,91
4914,92
9601,93
8161,94
79571,95
1656,96
8452,97
7726,98
80764,99
10190,100
10989,101
79707,102
79443,103
9064,104
7533,105
10971,106
388813,107
10146,108
51806,109
23363,110
103,111
89941,112
55288,113
1,114
23198,115
7179,116
79609,117
2290,118
23394,119
5884,120
10111,121
23028,122
23209,123
9026,124
5580,125
2185,126
1192,127
5686,128
5393,129
79939,130
11103,131
705,132
2050,133
84125,134
5224,135
9958,136
23041,137
80227,138
3716,139
5245,140
1213,141
6709,142
81631,143
10423,144
26469,145
9724,146
56159,147
9045,148
11190,149
79657,150
55011,151
11336,152
4644,153
7097,154
114609,155
6125,156
6210,157
5914,158
64324,159
8677,160
7184,161
267,162
55117,163
56894,164
10897,165
23385,166
1439,167
5290,168
8805,169
367,170
860,171
10979,172
84984,173
10015,174
79876,175
6045,176
1994,177
78994,178
6421,179
7185,180
10130,181
5800,182
4860,183
133686,184
8089,185
64089,186
9443,187
6720,188
2034,189
27252,190
5900,191
5163,192
2697,193
5581,194
6117,195
22938,196
6132,197
3192,198
6636,199
10907,200
10492,201
3312,202
374877,203
2665,204
51547,205
7531,206
57228,207
665,208
11034,209
399687,210
8241,211
23708,212
10642,213
54800,214
203259,215
3326,216
5481,217
8471,218
3320,219
5339,220
9135,221
7706,222
64145,223
10524,224
5598,225
63940,226
4833,227
56547,228
7343,229
79101,230
2048,231
1946,232
2534,233
10985,234
10648,235
203328,236
5451,237
10379,238
92736,239
27161,240
4790,241
5531,242
23371,243
125058,244
9891,245
6500,246
11345,247
6637,248
7532,249
23164,250
10238,251
329,252
9908,253
4211,254
2018,255
4192,256
6142,257
5829,258
7094,259
6622,260
9204,261
2275,262
10018,263
85415,264
8777,265
3358,266
126859,267
6730,268
23170,269
100316904,270
60,271
6233,272
85407,273
1025,274
1457,275
5717,276
5705,277
84140,278
6389,279
3837,280
80152,281
60490,282
64968,283
3364,284
6327,285
1874,286
23429,287
6721,288
11236,289
5775,290
147339,291
4142,292
9057,293
2539,294
27430,295
7157,296
1869,297
4084,298
51742,299
80321,300
54478,301
719,302
54733,303
5127,304
9644,305
9588,306
23710,307
440,308
7414,309
10482,310
26136,311
10935,312
2621,313
23439,314
7138,315
11007,316
9061,317
1781,318
1039,319
84080,320
9053,321
149041,322
79600,323
56926,324
10670,325
28956,326
1915,327
10210,328
2176,329
3898,330
999,331
23193,332
2783,333
4773,334
5796,335
55501,336
2962,337
79075,338
54331,339
57521,340
29894,341
9774,342
23592,343
6714,344
2308,345
274,346
8491,347
682,348
55240,349
55922,350
23435,351
1800,352
201163,353
55646,354
10550,355
3384,356
5966,357
91252,358
60312,359
10336,360
925,361
127,362
6657,363
114885,364
5566,365
80331,366
3609,367
2150,368
7529,369
55103,370
7789,371
79364,372
2957,373
387332,374
5500,375
4645,376
23673,377
55850,378
5431,379
8517,380
283471,381
1829,382
5318,383
598,384
3239,385
283150,386
154,387
29927,388
7046,389
57111,390
5184,391
5315,392
1917,393
7186,394
79631,395
55229,396
4512,397
29090,398
1659,399
23382,400
6176,401
6217,402
7314,403
7132,404
343069,405
1993,406
65263,407
7311,408
8878,409
6672,410
1820,411
9931,412
400,413
10291,414
219988,415
6993,416
11276,417
373,418
64400,419
90655,420
55872,421
164592,422
83755,423
23118,424
483,425
149175,426
1029,427
9924,428
64965,429
64978,430
4916,431
201266,432
5710,433
11047,434
56897,435
29761,436
9277,437
10574,438
2059,439
336,440
110384692,441
3921,442
150274,443
10393,444
10560,445
1487,446
56905,447
1956,448
6464,449
10345,450
201931,451
10197,452
9474,453
4729,454
93380,455
5669,456
29967,457
54101,458
387,459
116449,460
7514,461
55165,462
1072,463
11338,464
9738,465
79598,466
6141,467
26354,468
10024,469
9149,470
51474,471
9462,472
92922,473
27285,474
4214,475
22832,476
11273,477
5725,478
1407,479
3396,480
8634,481
25873,482
2200,483
3339,484
222663,485
1665,486
2810,487
6367,488
164832,489
5232,490
136895,491
23220,492
1104,493
7189,494
3725,495
6520,496
7381,497
3845,498
7069,499
55236,500
3615,501
9123,502
5660,503
7337,504
162427,505
56704,506
51226,507
22820,508
23400,509
56125,510
10320,511
3065,512
1743,513
10155,514
1454,515
8239,516
7133,517
1315,518
53918,519
6418,520
5578,521
1390,522
1973,523
11200,524
23450,525
7305,526
54210,527
5861,528
51144,529
7266,530
8569,531
1965,532
2078,533
841,534
25999,535
100526740,536
121441,537
2091,538
64377,539
192669,540
2959,541
688,542
6352,543
2833,544
1738,545
5432,546
11065,547
9616,548
7881,549
27173,550
3998,551
10972,552
4329,553
26275,554
6390,555
55847,556
257397,557
1540,558
1031,559
10499,560
5704,561
55596,562
7518,563
11127,564
1339,565
90203,566
21,567
57476,568
57655,569
6925,570
5529,571
340547,572
374618,573
153733,574
10096,575
10576,576
3068,577
134430,578
55193,579
6605,580
23140,581
10634,582
29843,583
5426,584
8761,585
2289,586
65061,587
7112,588
9421,589
51202,590
6840,591
375056,592
283375,593
23322,594
254863,595
3983,596
3768,597
253827,598
10797,599
10075,600
4884,601
119180,602
4067,603
30011,604
10484,605
51741,606
3054,607
5469,608
6732,609
10602,610
9869,611
114799,612
6779,613
5016,614
55746,615
81929,616
203068,617
23513,618
6741,619
26121,620
826,621
6139,622
83444,623
56605,624
10090,625
4110,626
2033,627
7534,628
89,629
5685,630
842,631
79444,632
56288,633
9590,634
6789,635
162972,636
56916,637
1855,638
9851,639
1385,640
255798,641
8379,642
4824,643
29995,644
392617,645
5499,646
84148,647
5226,648
6876,649
64170,650
6319,651
6748,652
4597,653
10397,654
151903,655
10446,656
2260,657
7874,658
10014,659
9875,660
4332,661
57096,662
23112,663
64175,664
23640,665
10143,666
55147,667
55791,668
79956,669
55768,670
11124,671
84062,672
9482,673
3581,674
9236,675
79886,676
80777,677
1355,678
3842,679
23380,680
3174,681
55629,682
403,683
23568,684
4726,685
126328,686
6575,687
55178,688
8649,689
3309,690
4026,691
55610,692
11269,693
4038,694
55022,695
5683,696
5692,697
3939,698
2108,699
5715,700
51421,701
2304,702
