geneID,Gene_name,gid
2017,CTTN,263
55707,NECAP2,264
11252,PACSIN2,265
130340,AP1S3,266
10093,ARPC4,267
10094,ARPC3,268
8218,CLTCL1,269
950,SCARB2,270
9829,DNAJC6,271
185,AGTR1,272
2288,FKBP4,273
4306,NR3C2,274
8204,NRIP1,275
3297,HSF1,276
2908,NR3C1,277
6271,S100A1,278
10598,AHSA1,279
5536,PPP5C,280
2099,ESR1,281
11146,GLMN,282
2625,GATA3,283
23239,PHLPP1,284
2289,FKBP5,285
3303,HSPA1A,286
5481,PPID,287
3306,HSPA2,288
5594,MAPK1,289
10728,PTGES3,290
475,ATOX1,291
7090,TLE3,292
3308,HSPA4,293
3320,HSP90AA1,294
3326,HSP90AB1,295
8202,NCOA3,296
10963,STIP1,297
2475,MTOR,298
2033,EP300,299
3169,FOXA1,300
3305,HSPA1L,301
2100,ESR2,302
207,AKT1,303
5264,PHYH,304
5241,PGR,305
5595,MAPK3,306
367,AR,307
1179,CLCA1,308
3304,HSPA1B,309
56603,CYP26B1,310
1576,CYP3A4,311
29785,CYP2S1,312
1592,CYP26A1,313
1548,CYP2A6,314
1577,CYP3A5,315
1559,CYP2C9,316
1555,CYP2B6,317
346673,STRA8,318
8854,ALDH1A2,319
1544,CYP1A2,320
220,ALDH1A3,321
316,AOX1,322
1543,CYP1A1,323
1551,CYP3A7,324
216,ALDH1A1,325
1558,CYP2C8,326
339345,NANOS2,327
1562,CYP2C18,328
340665,CYP26C1,329
1381,CRABP1,330
1579,CYP4A11,331
55471,NDUFAF7,332
4694,NDUFA1,333
4535,MT-ND1,334
4701,NDUFA7,335
4725,NDUFS5,336
4713,NDUFB7,337
4705,NDUFA10,338
51295,ECSIT,339
374291,NDUFS7,340
4698,NDUFA5,341
4720,NDUFS2,342
4722,NDUFS3,343
55967,NDUFA12,344
4702,NDUFA8,345
4538,MT-ND4,346
51079,NDUFA13,347
4696,NDUFA3,348
4728,NDUFS8,349
4536,MT-ND2,350
4712,NDUFB6,351
4719,NDUFS1,352
4729,NDUFV2,353
4715,NDUFB9,354
91942,NDUFAF2,355
4540,MT-ND5,356
4717,NDUFC1,357
4724,NDUFS4,358
4704,NDUFA9,359
4708,NDUFB2,360
4710,NDUFB4,361
4707,NDUFB1,362
55572,FOXRED1,363
4731,NDUFV3,364
4714,NDUFB8,365
54539,NDUFB11,366
4695,NDUFA2,367
80224,NUBPL,368
4711,NDUFB5,369
137682,NDUFAF6,370
51300,TIMMDC1,371
4716,NDUFB10,372
25915,NDUFAF3,373
4700,NDUFA6,374
4718,NDUFC2,375
4726,NDUFS6,376
4706,NDUFAB1,377
4541,ND6,378
4537,MT-ND3,379
55863,TMEM126B,380
4723,NDUFV1,381
126328,NDUFA11,382
63899,NSUN3,383
4709,NDUFB3,384
28976,ACAD9,385
54516,MTRF1L,386
79133,NDUFAF5,387
29078,NDUFAF4,388
51103,NDUFAF1,389
2519,FUCA2,390
4353,MPO,391
7184,HSP90B1,392
5034,P4HB,393
410,ARSA,394
79980,DSN1,395
56729,RETN,396
10272,FSTL3,397
10130,PDIA6,398
10493,VAT1,399
175,AGA,400
3371,TNC,401
174,AFP,402
2665,GDI2,403
1356,CP,404
10232,MSLN,405
383,ARG1,406
1991,ELANE,407
813,CALU,408
57719,ANO8,409
4125,MAN2B1,410
265,AMELX,411
4240,MFGE8,412
2621,GAS6,413
91851,CHRDL1,414
5036,PA2G4,415
1114,CHGB,416
1727,CYB5R3,417
54587,MXRA8,418
93100,NAPRT,419
2990,GUSB,420
51316,PLAC8,421
5954,RCN1,422
56975,FAM20C,423
6383,SDC2,424
8635,RNASET2,425
1471,CST3,426
25801,GCA,427
29106,SCG3,428
2444,FRK,429
6386,SDCBP,430
8614,STC2,431
5580,PRKCD,432
7425,VGF,433
2200,FBN1,434
56955,MEPE,435
11167,FSTL1,436
258,AMBN,437
6694,SPP2,438
3895,KTN1,439
5265,SERPINA1,440
147111,NOTUM,441
718,C3,442
3270,HRC,443
11098,PRSS23,444
3487,IGFBP4,445
2717,GLA,446
5707,PSMD1,447
9588,PRDX6,448
3915,LAMC1,449
302,ANXA2,450
566,AZU1,451
213,ALB,452
64856,VWA1,453
652,BMP4,454
3698,ITIH2,455
336,APOA2,456
10577,NPC2,457
116519,APOA5,458
54757,FAM20A,459
10487,CAP1,460
84141,EVA1A,461
4069,LYZ,462
8804,CREG1,463
10117,ENAM,464
348,APOE,465
3488,IGFBP5,466
411,ARSB,467
351,APP,468
3614,IMPDH1,469
375056,MIA3,470
3484,IGFBP1,471
10694,CCT8,472
8836,GGH,473
7857,SCG2,474
3490,IGFBP7,475
5343,PLGLB1,476
462,SERPINC1,477
201294,UNC13D,478
3827,KNG1,479
8074,FGF23,480
29108,PYCARD,481
387263,C6orf120,482
387921,NHLRC3,483
6696,SPP1,484
2719,GPC3,485
4148,MATN3,486
51156,SERPINA10,487
11320,MGAT4A,488
10383,TUBB4B,489
7415,VCP,490
1758,DMP1,491
54472,TOLLIP,492
153642,ARSK,493
335,APOA1,494
80142,PTGES2,495
5589,PRKCSH,496
1000,CDH2,497
255738,PCSK9,498
3074,HEXB,499
5624,PROC,500
4924,NUCB1,501
2720,GLB1,502
54972,TMEM132A,503
11240,PADI2,504
10576,CCT2,505
2153,F5,506
4221,MEN1,507
29952,DPP7,508
4332,MNDA,509
58485,TRAPPC1,510
720,C4A,511
2760,GM2A,512
8720,MBTPS1,513
3053,SERPIND1,514
401138,AMTN,515
3486,IGFBP3,516
5834,PYGB,517
10970,CKAP4,518
203068,TUBB,519
5005,ORM2,520
23593,HEBP2,521
2517,FUCA1,522
2512,FTL,523
1075,CTSC,524
8404,SPARCL1,525
102,ADAM10,526
3569,IL6,527
671,BPI,528
5768,QSOX1,529
6317,SERPINB3,530
334,APLP2,531
6278,S100A7,532
23197,FAF2,533
3912,LAMB1,534
1435,CSF1,535
5179,PENK,536
51246,SHISA5,537
57104,PNPLA2,538
5611,DNAJC3,539
1462,VCAN,540
4052,LTBP1,541
5657,PRTN3,542
7076,TIMP1,543
3956,LGALS1,544
47,ACLY,545
388697,HRNR,546
197,AHSG,547
51280,GOLM1,548
5476,CTSA,549
7466,WFS1,550
6037,RNASE3,551
3913,LAMB2,552
6036,RNASE2,553
2266,FGG,554
2243,FGA,555
9798,IST1,556
2335,FN1,557
1511,CTSG,558
80341,BPIFB2,559
9210,BMP15,560
2896,GRN,561
114790,STK11IP,562
2171,FABP5,563
8542,APOL1,564
2588,GALNS,565
55313,CPPED1,566
7276,TTR,567
9957,HS3ST1,568
9653,HS2ST1,569
10090,UST,570
10082,GPC6,571
9394,HS6ST1,572
3339,HSPG2,573
6382,SDC1,574
2131,EXT1,575
375790,AGRN,576
221914,GPC2,577
51301,GCNT4,578
2262,GPC5,579
2817,GPC1,580
2651,GCNT2,581
9672,SDC3,582
2650,GCNT1,583
6385,SDC4,584
26035,GLCE,585
2239,GPC4,586
6405,SEMA3F,587
9423,NTN1,588
23654,PLXNB2,589
1947,EFNB1,590
10154,PLXNC1,591
1949,EFNB3,592
5364,PLXNB1,593
1944,EFNA3,594
91584,PLXNA4,595
23129,PLXND1,596
55558,PLXNA3,597
1942,EFNA1,598
1943,EFNA2,599
5365,PLXNB3,600
5361,PLXNA1,601
8829,NRP1,602
5362,PLXNA2,603
7422,VEGFA,604
1946,EFNA5,605
1948,EFNB2,606
8828,NRP2,607
1945,EFNA4,608
5698,PSMB9,609
5705,PSMC5,610
8724,SNX3,611
5701,PSMC2,612
144453,BEST3,613
183,AGT,614
5717,PSMD11,615
5720,PSME1,616
5710,PSMD4,617
1182,CLCN3,618
5692,PSMB4,619
5565,PRKAB2,620
23433,RHOQ,621
5644,PRSS1,622
7532,YWHAG,623
122706,PSMB11,624
1811,SLC26A3,625
5687,PSMA6,626
5689,PSMB1,627
5704,PSMC4,628
54831,BEST2,629
27248,ERLEC1,630
266675,BEST4,631
5573,PRKAR1A,632
9861,PSMD6,633
5576,PRKAR2A,634
5682,PSMA1,635
5577,PRKAR2B,636
5695,PSMB7,637
91445,RNF185,638
3301,DNAJA1,639
7430,EZR,640
23198,PSME4,641
2316,FLNA,642
53632,PRKAG3,643
7439,BEST1,644
5562,PRKAA1,645
10613,ERLIN1,646
6351,CCL4,647
9497,SLC4A7,648
5706,PSMC6,649
9100,USP10,650
2318,FLNC,651
79139,DERL1,652
5566,PRKACA,653
143471,PSMA8,654
6048,RNF5,655
55107,ANO1,656
10956,OS9,657
116369,SLC26A8,658
6340,SCNN1G,659
5683,PSMA2,660
6338,SCNN1B,661
8671,SLC4A4,662
5711,PSMD5,663
1181,CLCN2,664
9368,SLC9A3R1,665
51422,PRKAG2,666
6558,SLC12A2,667
115019,SLC26A9,668
5568,PRKACG,669
5684,PSMA3,670
91319,DERL3,671
821,CANX,672
10197,PSME3,673
5690,PSMB2,674
6387,CXCL12,675
9491,PSMF1,676
5716,PSMD10,677
5691,PSMB3,678
2741,GLRA1,679
57120,GOPC,680
7534,YWHAZ,681
2317,FLNB,682
6356,CCL11,683
5694,PSMB6,684
5702,PSMC3,685
5174,PDZK1,686
3758,KCNJ1,687
5715,PSMD9,688
2147,F2,689
5714,PSMD8,690
5709,PSMD3,691
5571,PRKAG1,692
5721,PSME2,693
5718,PSMD12,694
5699,PSMB10,695
5719,PSMD13,696
5686,PSMA5,697
5713,PSMD7,698
57101,ANO2,699
3576,CXCL8,700
7082,TJP1,701
6337,SCNN1A,702
1180,CLCN1,703
10213,PSMD14,704
5567,PRKACB,705
2792,GNGT1,706
6550,SLC9A3,707
5696,PSMB8,708
5688,PSMA7,709
1906,EDN1,710
5685,PSMA4,711
5592,PRKG1,712
5700,PSMC1,713
3783,KCNN4,714
8001,GLRA3,715
10273,STUB1,716
196527,ANO6,717
65010,SLC26A6,718
51009,DERL2,719
2782,GNB1,720
5708,PSMD2,721
5575,PRKAR1B,722
6690,SPINK1,723
6400,SEL1L,724
11160,ERLIN2,725
5693,PSMB5,726
5564,PRKAB1,727
5563,PRKAA2,728
9351,SLC9A3R2,729
1595,CYP51A1,730
4802,NFYC,731
10280,SIGMAR1,732
3422,IDI1,733
6307,MSMO1,734
27339,PRPF19,735
7108,TM7SF2,736
