GeneID,id
381,0
6712,1
23303,2
162,3
55605,4
51014,5
55738,6
287,7
3831,8
51226,9
56992,10
84516,11
84643,12
55614,13
3834,14
11014,15
81876,16
10972,17
9371,18
29127,19
57731,20
8729,21
1781,22
3630,23
9265,24
832,25
9727,26
23527,27
3797,28
51143,29
22920,30
1314,31
10652,32
1315,33
9922,34
10112,35
6836,36
26088,37
988,38
1780,39
5861,40
10121,41
830,42
829,43
966,44
51332,45
2348,46
8615,47
1062,48
3833,49
64147,50
24137,51
55582,52
375,53
377,54
64837,55
23046,56
51164,57
221458,58
146909,59
547,60
26153,61
3798,62
23423,63
55860,64
9585,65
1783,66
23647,67
54732,68
286,69
378,70
8853,71
1604,72
6709,73
8766,74
285643,75
81930,76
147700,77
11258,78
124602,79
9493,80
10282,81
10945,82
288,83
1778,84
6711,85
3799,86
9276,87
10671,88
50807,89
10540,90
3832,91
10959,92
9267,93
11004,94
372,95
10749,96
140735,97
23095,98
6710,99
26958,100
90990,101
22820,102
27236,103
55083,104
93661,105
9744,106
84440,107
8655,108
84364,109
3796,110
3835,111
113220,112
9554,113
89953,114
26286,115
2108,116
11015,117
6708,118
164,119
11127,120
22818,121
11316,122
1639,123
4074,124
26119,125
6456,126
8677,127
9648,128
8871,129
338,130
9026,131
54874,132
8976,133
160,134
4905,135
5869,136
3481,137
90019,138
1522,139
917,140
163,141
7316,142
127833,143
50618,144
58513,145
29993,146
920,147
10053,148
8867,149
51209,150
273,151
738,152
29978,153
10254,154
10092,155
6869,156
3575,157
1601,158
9185,159
8027,160
11037,161
5878,162
1080,163
112574,164
143425,165
23048,166
63971,167
1174,168
6572,169
551,170
1856,171
274,172
8774,173
9322,174
4036,175
867,176
30011,177
154,178
8905,179
23208,180
2580,181
51542,182
85021,183
2799,184
25977,185
8675,186
3482,187
23149,188
1956,189
7037,190
1175,191
1213,192
2060,193
51429,194
143187,195
7018,196
23062,197
55275,198
8301,199
5286,200
554,201
3949,202
6845,203
7474,204
63908,205
5868,206
1173,207
10244,208
26052,209
22836,210
6857,211
4952,212
8673,213
6453,214
7314,215
10552,216
1211,217
9146,218
7311,219
9341,220
1785,221
161,222
29924,223
22848,224
6293,225
85439,226
8322,227
915,228
1129,229
3092,230
29763,231
22905,232
8674,233
1950,234
10096,235
9856,236
6455,237
10097,238
8775,239
84251,240
9892,241
6457,242
409,243
26130,244
6233,245
29988,246
408,247
10109,248
3312,249
81567,250
1759,251
9367,252
1777,253
3267,254
6844,255
10226,256
