GOID,id
0006886,0
0006890,1
0016192,2
0003924,3
0005515,4
0005525,5
0005737,6
0005794,7
0005886,8
0048471,9
0070062,10
0007416,11
0021692,12
0030036,13
0030534,14
0035264,15
0051693,16
0099150,17
0099173,18
0003779,19
0005200,20
0005543,21
0045296,22
0051015,23
0098918,24
0099186,25
0005615,26
0005829,27
0008091,28
0016324,29
0030054,30
0030864,31
0033010,32
0042995,33
0043025,34
0043231,35
0098688,36
0098793,37
0098978,38
0099189,39
0006605,40
0007018,41
0007165,42
0042110,43
0050770,44
0003777,45
0005524,46
0008017,47
0016887,48
0019901,49
0071889,50
0005871,51
0005874,52
0030424,53
0001822,54
0007368,55
0007507,56
0060155,57
0110010,58
1903232,59
0030276,60
0000139,61
0005765,62
0005769,63
0008021,64
0030121,65
0030659,66
0032588,67
0008089,68
0031113,69
0031114,70
0043622,71
1902667,72
0008574,73
0071532,74
0005938,75
0030425,76
0044295,77
1904115,78
0015031,79
0030100,80
0032012,81
0005096,82
0046872,83
0045202,84
0002027,85
0003283,86
0006874,87
0006897,88
0007010,89
0008104,90
0010628,91
0010881,92
0010882,93
0030913,94
0031647,95
0033292,96
0033365,97
0034394,98
0036309,99
0036371,100
0043268,101
0050821,102
0051279,103
0051597,104
0051924,105
0051928,106
0055117,107
0060307,108
0070296,109
0070972,110
0072659,111
0086004,112
0086005,113
0086014,114
0086015,115
0086046,116
0086066,117
0086070,118
0086091,119
0098907,120
0098910,121
1901018,122
1901019,123
1901021,124
2001259,125
0008093,126
0019899,127
0030507,128
0030674,129
0044325,130
0051117,131
0140031,132
0005739,133
0005764,134
0005856,135
0014704,136
0016323,137
0030018,138
0030315,139
0031430,140
0031672,141
0042383,142
0043005,143
0043034,144
0045211,145
0055037,146
0007155,147
0035617,148
0003774,149
0019894,150
0016020,151
0030426,152
0031410,153
0006891,154
0005789,155
0005801,156
0030126,157
0030133,158
0033116,159
0000278,160
0051299,161
0090307,162
0000922,163
0005813,164
0005873,165
0007019,166
0051301,167
0051310,168
0051983,169
0000776,170
0005730,171
0005819,172
0015630,173
0045171,174
0072686,175
0001704,176
0001919,177
0006895,178
0007173,179
0007492,180
0008543,181
0032801,182
0045022,183
0047496,184
0005547,185
0032266,186
0043325,187
0080025,188
0005768,189
0031901,190
0000070,191
0006996,192
0010507,193
0046603,194
0051289,195
0051294,196
0051647,197
0008569,198
0006621,199
0035437,200
0005046,201
0046923,202
0005783,203
0030663,204
0000045,205
0006888,206
0007030,207
0019068,208
0090557,209
1903020,210
2000785,211
0003925,212
0012505,213
0034045,214
0032732,215
0035459,216
0035964,217
0045055,218
0048199,219
0048205,220
0048208,221
0050714,222
0071806,223
0106272,224
0106273,225
1902003,226
0008320,227
0019905,228
0005793,229
0012507,230
0030134,231
0030137,232
0030140,233
0030667,234
0042470,235
0042589,236
0070765,237
0007052,238
0007100,239
0032467,240
0036372,241
0042073,242
0060271,243
0072383,244
0098971,245
0031267,246
0120170,247
0005876,248
0005929,249
0016939,250
0030496,251
0032839,252
0043197,253
0097542,254
0000281,255
0000915,256
0006811,257
0007266,258
0007283,259
0007405,260
0030218,261
0045995,262
0051056,263
0051256,264
0051988,265
1902358,266
0043014,267
0043015,268
0048487,269
0001669,270
0005634,271
0005654,272
0009898,273
0032154,274
0051233,275
0090543,276
0097149,277
0002028,278
0007409,279
0007528,280
0007605,281
0007628,282
0009566,283
0010459,284
0019226,285
0021952,286
0040018,287
0045162,288
0050905,289
0061337,290
0065003,291
0019902,292
0030506,293
0106006,294
0005884,295
0005912,296
0016363,297
0016605,298
0033268,299
0033270,300
0043194,301
0043203,302
0044224,303
0070852,304
0002263,305
0006892,306
0007346,307
0030593,308
0034067,309
0042147,310
0061162,311
0070973,312
0090166,313
0097111,314
0098586,315
1903409,316
1903420,317
2000008,318
0005085,319
0005777,320
0005788,321
0005795,322
0005802,323
0005811,324
0031252,325
0010970,326
0045503,327
0045504,328
0005868,329
0030286,330
0031982,331
0001819,332
0002674,333
0006006,334
0006355,335
0006521,336
0006953,337
0007186,338
0007267,339
0008284,340
0008286,341
0010629,342
0010750,343
0010976,344
0022898,345
0030307,346
0030335,347
0031954,348
0032148,349
0032880,350
0033861,351
0038060,352
0042060,353
0042177,354
0042311,355
0042593,356
0043410,357
0045597,358
0045721,359
0045725,360
0045818,361
0045821,362
0045840,363
0045861,364
0045922,365
0046326,366
0046628,367
0046631,368
0046889,369
0048167,370
0050708,371
0050709,372
0050890,373
0050995,374
0051000,375
0051092,376
0051247,377
0051897,378
0055089,379
0060266,380
0060267,381
0090277,382
0090336,383
1900182,384
1900273,385
1902176,386
1902952,387
1903076,388
1903427,389
1990535,390
2000252,391
0002020,392
0005158,393
0005159,394
0005179,395
0042802,396
0005576,397
0005796,398
0031904,399
0034774,400
0045785,401
0048193,402
0090162,403
0001726,404
0005923,405
0008154,406
0022604,407
0030032,408
0005903,409
0014069,410
0015629,411
0030017,412
0030027,413
0030863,414
0071203,415
0098685,416
0098686,417
0120212,418
0032456,419
0032465,420
0043001,421
0045724,422
0060627,423
0061502,424
0061512,425
0070164,426
1902017,427
1902954,428
1903438,429
1904779,430
1905345,431
2001135,432
0005509,433
0042803,434
0044877,435
0051959,436
0060090,437
0030139,438
0030666,439
0034451,440
0055038,441
0098944,442
0030029,443
1990090,444
0010008,445
0000226,446
0090267,447
0003723,448
0019003,449
0101003,450
0007017,451
0007406,452
0010659,453
0010667,454
0044782,455
0046587,456
0070242,457
0070244,458
0019903,459
0000794,460
0001750,461
0001917,462
0005930,463
0032391,464
0035869,465
0036064,466
0098794,467
1990075,468
0030157,469
0005198,470
0006903,471
0006904,472
0061025,473
0005484,474
0019706,475
0031201,476
0097440,477
0097441,478
0005798,479
0070821,480
0051549,481
0060996,482
0120183,483
0008289,484
0001578,485
0061952,486
0010638,487
0032368,488
0032527,489
0034498,490
0042953,491
0055088,492
0090110,493
0140353,494
0038024,495
0097020,496
0031965,497
0035577,498
0070971,499
0006893,500
0030163,501
0045732,502
1903441,503
0035091,504
0043130,505
0032991,506
0000077,507
0000398,508
0006281,509
0006357,510
0045944,511
0000977,512
0000981,513
0001228,514
0003677,515
0071987,516
0000974,517
0005662,518
0005681,519
0016607,520
0071007,521
0071013,522
0036464,523
0006914,524
0016477,525
0030252,526
0032402,527
0032757,528
0034446,529
0042742,530
0030658,531
0051016,532
0008290,533
0034329,534
0001971,535
0007166,536
0007596,537
0030449,538
1903659,539
0001848,540
0005925,541
0009897,542
0009986,543
0035579,544
0007041,545
0002046,546
0032029,547
0034452,548
0045505,549
0005875,550
0045179,551
0097381,552
0001947,553
0003147,554
0003253,555
0006898,556
0007342,557
0015884,558
0017015,559
0031103,560
0035036,561
0046655,562
0060828,563
0061626,564
0061713,565
0071231,566
0005542,567
0038023,568
0061714,569
0030136,570
0031526,571
0007264,572
0032252,573
0045056,574
0048211,575
0048280,576
1900076,577
0001650,578
0005815,579
0007059,580
0007079,581
0007080,582
0030071,583
0045860,584
0051315,585
0051382,586
0099606,587
0099607,588
0043515,589
0000775,590
0000779,591
0005694,592
0005828,593
1990023,594
0022617,595
0071801,596
1901317,597
1903008,598
0002102,599
0036126,600
0051231,601
0051536,602
0003351,603
0021591,604
0051649,605
0002090,606
0006878,607
0034315,608
0060292,609
0097061,610
1990386,611
0000287,612
0019904,613
0032418,614
0016938,615
0051302,616
0000235,617
0016604,618
0035371,619
0061673,620
1990752,621
0060998,622
0061001,623
0099519,624
1990048,625
1990049,626
0098992,627
0099012,628
0001560,629
0009968,630
0010975,631
0021987,632
0048484,633
2001222,634
0007268,635
0007411,636
0048489,637
0099641,638
0035253,639
0043204,640
0099524,641
0032580,642
0001843,643
0007088,644
0035372,645
0048812,646
0051726,647
0090316,648
2000114,649
2001224,650
0050699,651
0070938,652
0097431,653
0051642,654
0005770,655
0000423,656
0031529,657
0034497,658
0030742,659
0070273,660
0140090,661
0006887,662
0045199,663
0014731,664
0016529,665
0030673,666
0170014,667
0007612,668
0043066,669
0045176,670
0045197,671
0099175,672
2000377,673
0005154,674
0106274,675
1990583,676
0032587,677
0002726,678
0006958,679
0007204,680
0031664,681
0045087,682
0045730,683
0045916,684
0046718,685
2000516,686
2000563,687
0001618,688
0045121,689
0098552,690
0005516,691
0035580,692
1903561,693
1904724,694
0010634,695
0010971,696
0030953,697
0031175,698
0036258,699
0048227,700
0051650,701
0072594,702
0090150,703
0098887,704
0150093,705
1990182,706
0031489,707
0005771,708
0005814,709
0045335,710
0098837,711
0007140,712
0070507,713
0071392,714
0072520,715
0051010,716
0070463,717
0005901,718
0007286,719
0008088,720
0120317,721
0031514,722
0061640,723
0005869,724
0060404,725
0070462,726
0000022,727
0030217,728
0070231,729
0007009,730
0010650,731
0010765,732
0010960,733
0019228,734
0034112,735
0043266,736
0045184,737
0045838,738
0071286,739
0071709,740
0072660,741
0090314,742
0099612,743
1900827,744
1902260,745
2000651,746
0008092,747
0009925,748
0016328,749
0031594,750
0007097,751
0008090,752
0031122,753
0032388,754
0033962,755
0034063,756
0051293,757
0060236,758
0090235,759
0120162,760
1905832,761
0005881,762
0030175,763
0035578,764
0007417,765
0021556,766
0032743,767
0060390,768
1903078,769
0051020,770
0032437,771
0007028,772
0032230,773
0042267,774
0042391,775
0047497,776
0071346,777
0098987,778
0160040,779
0101004,780
0061000,781
1903527,782
0001786,783
0005546,784
0071539,785
0007051,786
0046602,787
0001893,788
0006954,789
0009306,790
0032525,791
0034260,792
0036342,793
0036499,794
0045879,795
0060670,796
0060716,797
0060717,798
0072595,799
0090158,800
1903077,801
1905069,802
2000638,803
0005109,804
0005119,805
0030155,806
0030951,807
0098696,808
0099188,809
0019237,810
0008344,811
0021691,812
0043473,813
0051645,814
0006915,815
0007270,816
0007274,817
0048490,818
1902742,819
0016853,820
0030672,821
0098885,822
0051683,823
0072384,824
1905280,825
0022409,826
0030010,827
0072092,828
0003407,829
1903452,830
0006974,831
0021762,832
0035721,833
0042326,834
0044458,835
0110027,836
0004857,837
0060703,838
0008180,839
0035861,840
0007399,841
0030154,842
0030334,843
0120103,844
0007062,845
0000785,846
0009063,847
0022904,848
0033539,849
0009055,850
0016491,851
0050660,852
0005759,853
0045251,854
0002260,855
0006779,856
0007015,857
0008360,858
0030097,859
0042102,860
0006896,861
0016182,862
0032438,863
0035646,864
0043323,865
0045954,866
0048488,867
0090160,868
0005518,869
0035615,870
0005905,871
0030665,872
0010457,873
0034454,874
1902414,875
0000132,876
0021517,877
0031116,878
0051081,879
0061744,880
0070050,881
0090063,882
0098930,883
0099558,884
1904398,885
1905515,886
0015631,887
0048156,888
0005635,889
0030904,890
0099738,891
0006622,892
0008333,893
0033299,894
0046479,895
0004888,896
0140318,897
1905394,898
0030669,899
0008203,900
0030301,901
0031623,902
0034383,903
0042632,904
0042982,905
0043393,906
0048260,907
0071345,908
0090118,909
0090205,910
1904707,911
1905581,912
1905602,913
0001540,914
0001784,915
0030159,916
0035591,917
0035612,918
0035650,919
0050750,920
0005883,921
0001933,922
0016191,923
0097484,924
1905604,925
1990416,926
0006906,927
0048278,928
0000149,929
0031023,930
0034453,931
0034499,932
0070861,933
0071955,934
0090161,935
0006661,936
0036092,937
0046856,938
0061024,939
0004438,940
0004439,941
0034596,942
0043813,943
0052629,944
0052658,945
0001701,946
0006642,947
0009615,948
0009791,949
0010744,950
0010884,951
0010886,952
0019433,953
0030317,954
0033344,955
0034374,956
0034379,957
0042158,958
0042159,959
0045540,960
0048844,961
0071402,962
0008201,963
0035473,964
0048018,965
0120020,966
0005790,967
0034359,968
0034360,969
0034361,970
0034362,971
0034363,972
0042627,973
0043202,974
0071682,975
0030837,976
0032956,977
0034316,978
0042981,979
0045742,980
0048268,981
0055123,982
0060453,983
0097193,984
1901030,985
1905445,986
2000369,987
2000588,988
0017124,989
