geneID,Gene_name,gid
3732,CD82,415
8754,ADAM9,416
2274,FHL2,417
977,CD151,418
3964,LGALS8,419
7106,TSPAN4,420
5877,RABIF,421
3676,ITGA4,422
3695,ITGB7,423
9404,LPXN,424
975,CD81,425
3386,ICAM4,426
1462,VCAN,427
5566,PRKACA,428
7041,TGFB1I1,429
8174,MADCAM1,430
8726,EED,431
10863,ADAM28,432
5573,PRKAR1A,433
6014,RIT2,434
5365,PLXNB3,435
5900,RALGDS,436
6654,SOS1,437
23179,RGL1,438
6018,RLF,439
5457,POU4F1,440
6016,RIT1,441
57154,SMURF1,442
5764,PTN,443
59349,KLHL12,444
160,AP2A1,445
3475,IFRD1,446
8452,CUL3,447
3679,ITGA7,448
2275,FHL3,449
4653,MYOC,450
1134,CHRNA1,451
7201,TRHR,452
7200,TRH,453
408,ARRB1,454
10260,DENND4A,455
7532,YWHAG,456
23075,SWAP70,457
1951,CELSR3,458
142,PARP1,459
10113,PREB,460
7046,TGFBR1,461
22822,PHLDA1,462
5359,PLSCR1,463
8761,PABPC4,464
3308,HSPA4,465
8664,EIF3D,466
9045,RPL14,467
22824,HSPA4L,468
83755,KRTAP4-12,469
55325,UFSP2,470
823,CAPN1,471
2596,GAP43,472
1996,ELAVL4,473
5580,PRKCD,474
5333,PLCD1,475
9135,RABEP1,476
59340,HRH4,477
2775,GNAO1,478
2769,GNA15,479
6360,CCL16,480
2770,GNAI1,481
54850,FBXL12,482
1028,CDKN1C,483
5349,FXYD3,484
3274,HRH2,485
114928,GPRASP2,486
80028,FBXL18,487
2922,GRP,488
2925,GRPR,489
1803,DPP4,490
4224,MEP1A,491
4225,MEP1B,492
1288,COL4A6,493
1634,DCN,494
4147,MATN2,495
351,APP,496
22918,CD93,497
5008,OSM,498
3026,HABP2,499
4318,MMP9,500
2199,FBLN2,501
5270,SERPINE2,502
1286,COL4A4,503
118429,ANTXR2,504
6288,SAA1,505
7045,TGFBI,506
1285,COL4A3,507
7399,USH2A,508
816,CAMK2B,509
4237,MFAP2,510
1284,COL4A2,511
651,BMP3,512
633,BGN,513
6291,SAA4,514
325,APCS,515
6289,SAA2,516
4811,NID1,517
43,ACHE,518
2896,GRN,519
6590,SLPI,520
1991,ELANE,521
348487,FAM131C,522
8328,GFI1B,523
4093,SMAD9,524
3101,HK3,525
1822,ATN1,526
8788,DLK1,527
3198,HOXA1,528
904,CCNT1,529
1025,CDK9,530
8940,TOP3B,531
10164,CHST4,532
947,CD34,533
3687,ITGAX,534
718,C3,535
3689,ITGB2,536
83700,JAM3,537
2208,FCER2,538
597,BCL2A1,539
5366,PMAIP1,540
638,BIK,541
637,BID,542
3164,NR4A1,543
581,BAX,544
578,BAK1,545
666,BOK,546
572,BAD,547
2885,GRB2,548
8739,HRK,549
10018,BCL2L11,550
27113,BBC3,551
9241,NOG,552
655,BMP7,553
