GeneID,diseaseID,label,score
57104,C1853136,1.0,-5.187164306640625
3236,C0152237,1.0,1.1742435693740845
286,C2674218,1.0,0.6236833930015564
51004,C0917817,1.0,0.9054297804832458
8216,C0917817,1.0,1.0166916847229004
7476,C0751569,1.0,0.7771452069282532
131,C0023055,1.0,0.9917410016059875
125,C0023055,1.0,1.150828242301941
79783,C0342873,1.0,0.622880220413208
1591,C0392525,1.0,0.6729745268821716
54443,C4014993,1.0,0.5523819327354431
7018,C0271901,1.0,0.7698727250099182
10265,C0271901,1.0,0.8365529179573059
201163,C0264558,1.0,0.5524864792823792
10599,C0220991,1.0,1.157139778137207
56271,C0008370,1.0,-3.955777645111084
644,C0008370,1.0,0.731231689453125
26061,C0008370,1.0,0.8716955780982971
586,C0008370,1.0,-6.027377605438232
84068,C0008370,1.0,0.7664689421653748
1716,C0008370,1.0,0.9094141721725464
6354,C0008370,1.0,0.8307970762252808
23643,C0008370,1.0,0.7251831889152527
5104,C0008370,1.0,-6.702733993530273
3400,C0008370,1.0,0.9210135340690613
10062,C0008370,1.0,0.7542095184326172
64577,C0008370,1.0,-7.548116207122803
2243,C0008370,1.0,0.6349520087242126
81494,C0008370,1.0,0.6802645921707153
6272,C0008370,1.0,0.6915274858474731
5173,C0008370,1.0,0.914996862411499
93664,C0008370,1.0,0.5821143388748169
9924,C0008370,1.0,0.6051945686340332
27248,C0008370,1.0,0.7739608883857727
1593,C0008370,1.0,0.787102460861206
56521,C0008370,1.0,0.8626531958580017
617,C0008370,1.0,0.7736052870750427
200931,C0008370,1.0,0.84395831823349
9002,C0008370,1.0,0.5494001507759094
6731,C0008370,1.0,0.7268104553222656
79876,C0008370,1.0,0.8143583536148071
219,C0008370,1.0,0.8294959664344788
51179,C0008370,1.0,0.40258753299713135
152518,C0008370,1.0,0.6560255289077759
54676,C0008370,1.0,0.7566379308700562
84649,C0008370,1.0,0.8290659189224243
9420,C0008370,1.0,0.8718810677528381
2184,C0008370,1.0,0.6459001898765564
1581,C0008370,1.0,-3.5214312076568604
5962,C0008370,1.0,0.6545770764350891
570,C0008370,1.0,0.8198738694190979
8714,C0008370,1.0,0.7026526927947998
1582,C0008370,1.0,0.9203837513923645
80270,C0008370,1.0,-3.2544312477111816
23189,C0008370,1.0,0.7481810450553894
6567,C0008370,1.0,0.9804572463035583
7376,C0008370,1.0,0.7211217880249023
9971,C0008370,1.0,0.7906838059425354
7429,C0008370,1.0,-5.638399600982666
359845,C0008370,1.0,-5.911190986633301
8647,C0008370,1.0,0.8359725475311279
6653,C0008370,1.0,0.8484953045845032
55062,C0008370,1.0,0.7637916207313538
2920,C0008370,1.0,0.7949569821357727
5244,C0008370,1.0,0.8292497992515564
9963,C0008370,1.0,-4.612607955932617
6820,C0008370,1.0,0.760795533657074
3988,C0008370,1.0,0.8800963163375854
4189,C0008370,1.0,0.7983465194702148
112817,C0008370,1.0,0.9036740660667419
80896,C0008370,1.0,-3.3660166263580322
55286,C0008370,1.0,-6.825708866119385
4358,C0008370,1.0,0.7296975255012512
9962,C0008370,1.0,-4.240554332733154
7905,C0008370,1.0,0.7797078490257263
154141,C0008370,1.0,-7.657255172729492
55532,C0008370,1.0,0.6714817881584167
4645,C0008370,1.0,0.6546436548233032
10950,C0008370,1.0,0.8408598303794861
5603,C0008370,1.0,-3.6534476280212402
6718,C0008370,1.0,-4.595527172088623
