GeneID1,GeneID2,weight
9604,2908,1.0
9604,8031,1.0
9604,2099,1.0
9604,7324,1.0
9604,367,1.0
2908,9604,1.0
2908,367,1.0
2908,7314,1.0
2908,7533,1.0
2908,7329,1.0
2908,801,1.0
2908,5970,1.0
2908,1387,1.0
2908,2534,1.0
2908,4088,1.0
2908,3192,1.0
2908,3303,1.0
2908,3725,1.0
2908,6908,1.0
2908,5914,1.0
2908,2113,1.0
2908,5591,1.0
2908,9612,1.0
2908,9611,1.0
2908,7704,1.0
2908,5594,1.0
2908,7157,1.0
2908,1051,1.0
2908,5451,1.0
2908,7341,1.0
2908,811,1.0
2908,5566,1.0
2908,7041,1.0
2908,27043,1.0
2908,6605,1.0
2908,23054,1.0
2908,5599,1.0
2908,55827,1.0
2908,5894,1.0
2908,10980,1.0
2908,3416,1.0
2908,6857,1.0
2908,6595,1.0
2908,6774,1.0
2908,3932,1.0
2908,7251,1.0
2908,7295,1.0
2908,3838,1.0
2908,3320,1.0
2908,4691,1.0
2908,387082,1.0
2908,5087,1.0
2908,1050,1.0
2908,3460,1.0
2908,4791,1.0
2908,6777,1.0
2908,6776,1.0
2908,2810,1.0
2908,225689,1.0
2908,2114,1.0
2908,6598,1.0
2908,1385,1.0
2908,8648,1.0
2908,10728,1.0
2908,4790,1.0
2908,4193,1.0
2908,10155,1.0
2908,6597,1.0
2908,80205,1.0
2908,10499,1.0
2908,291,1.0
2908,7026,1.0
2908,10891,1.0
2908,2288,1.0
2908,573,1.0
2908,8204,1.0
2908,9282,1.0
2908,24148,1.0
2908,5452,1.0
2908,5927,1.0
2908,6599,1.0
2908,23426,1.0
2908,3175,1.0
2908,8805,1.0
2908,6602,1.0
2908,2063,1.0
2908,29893,1.0
2908,4306,1.0
2908,5449,1.0
2908,100,1.0
2908,79039,1.0
2908,7818,1.0
2908,11319,1.0
2908,5763,1.0
8031,9604,1.0
8031,367,1.0
8031,2959,1.0
8031,6256,1.0
8031,8850,1.0
8031,5468,1.0
8031,6311,1.0
2099,9604,1.0
2099,367,1.0
2099,10273,1.0
2099,7533,1.0
2099,7329,1.0
2099,6714,1.0
2099,801,1.0
2099,5970,1.0
2099,1387,1.0
2099,1499,1.0
2099,4088,1.0
2099,6670,1.0
2099,6197,1.0
2099,672,1.0
2099,3725,1.0
2099,2959,1.0
2099,3276,1.0
2099,6908,1.0
2099,2033,1.0
2099,2965,1.0
2099,6996,1.0
2099,6667,1.0
2099,5914,1.0
2099,6464,1.0
2099,595,1.0
2099,2100,1.0
2099,3172,1.0
2099,4089,1.0
2099,4087,1.0
2099,9612,1.0
2099,9611,1.0
2099,7704,1.0
2099,7025,1.0
2099,5595,1.0
2099,5594,1.0
2099,6256,1.0
2099,7157,1.0
2099,6720,1.0
