TopK,1,5,10,15,20,25,30,35,50,100,150,200,250,300
hit,0.0035460992907801418,0.0072788353863381845,0.029706028517521008,0.041019558776457306,0.04476459348227238,0.06172336502474782,0.07824334480190877,0.09292696983468364,0.20049399047691452,0.3867901137837248,0.5295390937832927,0.6726867149222505,0.7635981899092256,0.85874482054736
hit_ratio,0.0035460992907801418,0.0014557670772676373,0.002970602851752101,0.0027346372517638197,0.002238229674113619,0.0024689346009899135,0.002608111493396959,0.00265505628099096,0.0040098798095382915,0.003867901137837249,0.0035302606252219496,0.0033634335746112547,0.0030543927596369015,0.002862482735157865
recall,0.0004432624113475177,0.0006869271286964457,0.0018596555507672985,0.0025861061037961057,0.0028472537870903496,0.0038906359629874454,0.004721476170829659,0.005374177176632769,0.009265229544932543,0.01713258819728095,0.02407775915585824,0.030971518854660846,0.036539006946302216,0.041288738599759574
precision,0.0035460992907801418,0.0014557670772676373,0.002970602851752101,0.0027346372517638197,0.002238229674113619,0.0024689346009899135,0.002608111493396959,0.00265505628099096,0.0040098798095382915,0.003867901137837249,0.0035302606252219496,0.0033634335746112547,0.0030543927596369015,0.002862482735157865
F1,0.0007880220646178092,0.0008953850426171376,0.0021008639183917187,0.002364152576954235,0.002243010970656695,0.0027539005012034664,0.0029908393855743163,0.0030065588891148983,0.0048287192699711864,0.005642341098529445,0.00558345114059777,0.005616018282551561,0.005259512132895856,0.005031036454077592
MCC,0.0009991302149872992,0.0004065466290783228,0.0014454917977865325,0.0015137283718649525,0.001234907618550825,0.0016610795533604772,0.001874912307278427,0.0019029846800242293,0.003760500892171228,0.004906485634716765,0.005265801913296847,0.005717870977339198,0.005571122579610131,0.005430883597217982
ACC_num,0.0035460992907801418,0.0072788353863381845,0.029706028517521008,0.041019558776457306,0.04476459348227238,0.06172336502474782,0.07824334480190877,0.09292696983468364,0.20049399047691452,0.3867901137837248,0.5295390937832927,0.6726867149222505,0.7635981899092256,0.85874482054736
ACC,0.9985861055424123,0.9983357685854687,0.9980250759447937,0.9977129928261665,0.9973999563505437,0.9970885763645021,0.9967771520325762,0.9964655286680981,0.9955386061161201,0.9924270592732451,0.9893100381982103,0.9861930097835776,0.9830694263880042,0.9799463829644939
AUC,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297,0.4945661077244297
AUPR,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495,0.002733355578305495
avgPrecision,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356,0.003263498563743356
