geneID,Gene_name,gid
51742,ARID4B,300
80321,CEP70,301
54478,PIMREG,302
719,C3AR1,303
54733,SLC35F2,304
5127,CDK16,305
9644,SH3PXD2A,306
9588,PRDX6,307
23710,GABARAPL1,308
440,ASNS,309
7414,VCL,310
10482,NXF1,311
26136,TES,312
10935,PRDX3,313
2621,GAS6,314
23439,ATP1B4,315
7138,TNNT1,316
11007,CCDC85B,317
9061,PAPSS1,318
1781,DYNC1I2,319
1039,CDR2,320
84080,ENKD1,321
9053,MAP7,322
149041,RC3H1,323
79600,TCTN1,324
56926,NCLN,325
10670,RRAGA,326
28956,LAMTOR2,327
1915,EEF1A1,328
10210,TOPORS,329
2176,FANCC,330
3898,LAD1,331
999,CDH1,332
23193,GANAB,333
2783,GNB2,334
4773,NFATC2,335
5796,PTPRK,336
55501,CHST12,337
2962,GTF2F1,338
79075,DSCC1,339
54331,GNG2,340
57521,RPTOR,341
29894,CPSF1,342
9774,BCLAF1,343
23592,LEMD3,344
6714,SRC,345
2308,FOXO1,346
274,BIN1,347
8491,MAP4K3,348
682,BSG,349
55240,STEAP3,350
55922,NKRF,351
23435,TARDBP,352
1800,DPEP1,353
201163,FLCN,354
55646,LYAR,355
10550,ARL6IP5,356
3384,ICAM2,357
5966,REL,358
91252,SLC39A13,359
60312,AFAP1,360
10336,PCGF3,361
925,CD8A,362
127,ADH4,363
6657,SOX2,364
114885,OSBPL11,365
5566,PRKACA,366
80331,DNAJC5,367
3609,ILF3,368
2150,F2RL1,369
7529,YWHAB,370
55103,RALGPS2,371
7789,ZXDA,372
79364,ZXDC,373
2957,GTF2A1,374
387332,TBPL2,375
5500,PPP1CB,376
4645,MYO5B,377
23673,STX12,378
55850,USE1,379
5431,POLR2B,380
8517,IKBKG,381
283471,TMPRSS12,382
1829,DSG2,383
5318,PKP2,384
598,BCL2L1,385
3239,HOXD13,386
283150,FOXR1,387
154,ADRB2,388
29927,SEC61A1,389
7046,TGFBR1,390
57111,RAB25,391
5184,PEPD,392
5315,PKM,393
1917,EEF1A2,394
7186,TRAF2,395
79631,EFL1,396
55229,PANK4,397
4512,MT-CO1,398
29090,TIMM21,399
1659,DHX8,400
23382,AHCYL2,401
6176,RPLP1,402
6217,RPS16,403
7314,UBB,404
7132,TNFRSF1A,405
343069,HNRNPCL1,406
1993,ELAVL2,407
65263,PYCR3,408
7311,UBA52,409
8878,SQSTM1,410
6672,SP100,411
1820,ARID3A,412
9931,HELZ,413
400,ARL1,414
10291,SF3A1,415
219988,PATL1,416
6993,DYNLT1,417
11276,SYNRG,418
373,TRIM23,419
64400,AKTIP,420
90655,TGIF2LY,421
55872,PBK,422
164592,CCDC116,423
83755,KRTAP4-12,424
23118,TAB2,425
483,ATP1B3,426
149175,MANEAL,427
1029,CDKN2A,428
9924,PAN2,429
64965,MRPS9,430
64978,MRPL38,431
4916,NTRK3,432
201266,SLC39A11,433
5710,PSMD4,434
11047,ADRM1,435
56897,WRNIP1,436
29761,USP25,437
9277,WDR46,438
10574,CCT7,439
2059,EPS8,440
336,APOA2,441
110384692,LOC110384692,442
3921,RPSA,443
150274,HSCB,444
10393,ANAPC10,445
10560,SLC19A2,446
1487,CTBP1,447
56905,C15orf39,448
1956,EGFR,449
6464,SHC1,450
10345,TRDN,451
201931,TMEM192,452
10197,PSME3,453
9474,ATG5,454
4729,NDUFV2,455
93380,MMGT1,456
5669,PSG1,457
29967,LRP12,458
54101,RIPK4,459
387,RHOA,460
116449,CLNK,461
7514,XPO1,462
55165,CEP55,463
1072,CFL1,464
11338,U2AF2,465
9738,CCP110,466
79598,CEP97,467
6141,RPL18,468
26354,GNL3,469
10024,TROAP,470
9149,DYRK1B,471
51474,LIMA1,472
9462,RASAL2,473
92922,CCDC102A,474
27285,TEKT2,475
4214,MAP3K1,476
22832,CEP162,477
11273,ATXN2L,478
5725,PTBP1,479
1407,CRY1,480
3396,MRPL58,481
8634,RTCA,482
25873,RPL36,483
2200,FBN1,484
3339,HSPG2,485
222663,SCUBE3,486
1665,DHX15,487
2810,SFN,488
6367,CCL22,489
164832,LONRF2,490
5232,PGK2,491
136895,SPMIP4,492
23220,DTX4,493
1104,RCC1,494
7189,TRAF6,495
3725,JUN,496
6520,SLC3A2,497
7381,UQCRB,498
3845,KRAS,499
7069,THRSP,500
55236,UBA6,501
3615,IMPDH2,502
9123,SLC16A3,503
5660,PSAP,504
7337,UBE3A,505
162427,RETREG3,506
56704,JPH1,507
51226,COPZ2,508
22820,COPG1,509
23400,ATP13A2,510
56125,PCDHB11,511
10320,IKZF1,512
3065,HDAC1,513
1743,DLST,514
10155,TRIM28,515
1454,CSNK1E,516
8239,USP9X,517
7133,TNFRSF1B,518
1315,COPB1,519
53918,PELO,520
6418,SET,521
5578,PRKCA,522
1390,CREM,523
1973,EIF4A1,524
11200,CHEK2,525
23450,SF3B3,526
7305,TYROBP,527
54210,TREM1,528
5861,RAB1A,529
51144,HSD17B12,530
7266,DNAJC7,531
8569,MKNK1,532
1965,EIF2S1,533
2078,ERG,534
841,CASP8,535
25999,CLIP3,536
100526740,ATP5MF-PTCD1,537
121441,NEDD1,538
2091,FBL,539
64377,CHST8,540
192669,AGO3,541
2959,GTF2B,542
688,KLF5,543
6352,CCL5,544
2833,CXCR3,545
1738,DLD,546
5432,POLR2C,547
11065,UBE2C,548
9616,RNF7,549
7881,KCNAB1,550
27173,SLC39A1,551
3998,LMAN1,552
10972,TMED10,553
4329,ALDH6A1,554
26275,HIBCH,555
6390,SDHB,556
55847,CISD1,557
257397,TAB3,558
1540,CYLD,559
1031,CDKN2C,560
10499,NCOA2,561
5704,PSMC4,562
55596,ZCCHC8,563
7518,XRCC4,564
11127,KIF3A,565
1339,COX6A2,566
90203,SNX21,567
21,ABCA3,568
57476,GRAMD1B,569
57655,GRAMD1A,570
6925,TCF4,571
5529,PPP2R5E,572
340547,VSIG1,573
374618,TEX9,574
153733,CCDC112,575
10096,ACTR3,576
10576,CCT2,577
3068,HDGF,578
134430,WDR36,579
55193,PBRM1,580
6605,SMARCE1,581
23140,ZZEF1,582
10634,GAS2L1,583
29843,SENP1,584
5426,POLE,585
8761,PABPC4,586
2289,FKBP5,587
65061,CDK15,588
7112,TMPO,589
9421,HAND1,590
51202,DDX47,591
6840,SVIL,592
375056,MIA3,593
283375,SLC39A5,594
23322,RPGRIP1L,595
